"Anas";"Calidris";"Waders";"Ducks";"Not-waders";"Freq";"Cormorant";"HeronEgret"
"1981";1351;904;926;2205;2372.5;3297.5;33.5;87.5
"1982";1412;5448;5580.5;2436.75;2715;8294.75;116.25;118
"1983";1061.5;8982;9085;1954.75;2162.75;11246;43.25;91.25
"1984";1403.75;10845.75;11031.75;2412.25;3015.75;14046.5;83;138.25
"1985";655.75;10055;10245.75;1641.75;2030.5;12275.5;87.5;95.75
"1986";1477.75;2698.5;2857.5;3818.25;4991.25;7845.75;192.5;605.75
"1987";789.75;3362;3527.75;2257.75;2999.25;6525.75;113.75;375.75
"1988";729;7303.5;7390.25;1681;2507.75;9896.75;206.25;216
"1989";1400.25;525;555;3162.75;4581.25;5135;315;665
"1990";1460.5;4738.5;4874.25;3016;4232.75;9107;457.5;275
"1991";1531.25;2946.5;3151.25;3417;4626.5;7777.5;355;95
"1992";1860.5;150.25;168.5;3751.5;5240;5408.5;350;241.25
"1993";1485;5098.5;5169.75;3365;4961.25;10130.5;475;137.5
"1994";1442.5;1108;1150.25;3295.75;4914.75;6062.5;420.5;224.5
"1995";1380.25;101.5;135.5;2298.5;4220;4355.5;355.25;170
"1996";1592.75;17;122;2695.75;4309.25;4430;365.5;190
"1997";851.5;525;607;1972.75;3230.75;3835.75;256.25;161.25
"1998";794.25;1;90.75;2121.25;3629.25;3719;222;152.5
"1999";1038.75;1954;2137.75;2560.5;4189.5;6326.25;353;191.25
"2000";992.25;521.25;630.25;2656.75;4865.75;5491;335;203
"2001";739;1148.75;1353.5;1956.25;3814;5166;357.5;119.5
"2002";973.25;112.5;194.25;3108.75;4468;4662.25;272.25;193
"2003";884.5;463;689.75;1847.5;2851.25;3538.75;200.5;134.75
"2004";809.25;624.75;816.25;2212.25;3392;4207;218.25;121.75
"2005";954.5;1601;2014.25;1920.25;3138.75;5153;166.75;133.25
"2006";745.25;1200.75;1787.75;1384.5;2104;3891;48;57.25
"2007";577;48.25;323.25;1215;2072.5;2284.5;164;67.25
"2008";881.75;1315;2126.75;2448;3666;5571.75;196.5;90.25
"2009";877.75;203.5;1031;2193.75;2405;3413;31.25;22.75
"2010";1064.75;1052.75;1950.75;2570.5;2876.75;4786;53;51.75
"2011";1006;1395.75;2565.25;1974.75;2308.75;4860;90.25;64.75
"2012";1039.5;8595.5;10073.75;1870.25;2749.75;12624.5;316.5;80.75
"2013";1167.75;5422.5;7047;1956.25;2513.25;9523.5;168;91.25
"2014";1071.5;2538;4794.25;1985.75;2466;7235.25;154;67.5
"2015";950.75;4622.25;6644;1690.5;2118.25;8748.75;140.25;61.25
"2016";1097.75;3329.25;5330;1815.5;2242.5;7521.5;90.75;47
