"Date";"Species";"Abundance"
"1981";"Anas";"201.25"
"1982";"Anas";"296"
"1983";"Anas";"254.5"
"1984";"Anas";"123.5"
"1985";"Anas";"279"
"1986";"Anas";"0"
"1987";"Anas";"112.75"
"1988";"Anas";"161"
"1989";"Anas";"175.25"
"1990";"Anas";"455.5"
"1991";"Anas";"415"
"1992";"Anas";"211.25"
"1993";"Anas";"177.25"
"1994";"Anas";"251.75"
"1995";"Anas";"153.75"
"1996";"Anas";"148"
"1997";"Anas";"112.5"
"1998";"Anas";"156.25"
"1999";"Anas";"198"
"2000";"Anas";"154.75"
"2001";"Anas";"168"
"2002";"Anas";"183.75"
"2003";"Anas";"141.5"
"2004";"Anas";"263.25"
"2005";"Anas";"279.5"
"2006";"Anas";"180.25"
"2007";"Anas";"150"
"2008";"Anas";"187.25"
"2009";"Anas";"241.75"
"2010";"Anas";"200"
"2011";"Anas";"220.75"
"2012";"Anas";"374.75"
"2013";"Anas";"154.75"
"2014";"Anas";"167.5"
"2015";"Anas";"209"
"2016";"Anas";NA
"1981";"Calidris";"900.25"
"1982";"Calidris";"650.25"
"1983";"Calidris";"202.75"
"1984";"Calidris";"2675"
"1985";"Calidris";"420"
"1986";"Calidris";"1827.75"
"1987";"Calidris";"550.75"
"1988";"Calidris";"0"
"1989";"Calidris";"429.5"
"1990";"Calidris";"1031"
"1991";"Calidris";"0"
"1992";"Calidris";"0"
"1993";"Calidris";"450.25"
"1994";"Calidris";"100"
"1995";"Calidris";"17"
"1996";"Calidris";"0"
"1997";"Calidris";"1"
"1998";"Calidris";"0"
"1999";"Calidris";"0"
"2000";"Calidris";"9.25"
"2001";"Calidris";"0"
"2002";"Calidris";"0"
"2003";"Calidris";"0.25"
"2004";"Calidris";"11.25"
"2005";"Calidris";"650.75"
"2006";"Calidris";"35.25"
"2007";"Calidris";"78"
"2008";"Calidris";"5.75"
"2009";"Calidris";"67.5"
"2010";"Calidris";"123.75"
"2011";"Calidris";"1496"
"2012";"Calidris";"1802.75"
"2013";"Calidris";"992.25"
"2014";"Calidris";"919.5"
"2015";"Calidris";"887.25"
"2016";"Calidris";NA
"1981";"Waders";"941.25"
"1982";"Waders";"659.25"
"1983";"Waders";"242.25"
"1984";"Waders";"2835"
"1985";"Waders";"444"
"1986";"Waders";"1896.5"
"1987";"Waders";"575"
"1988";"Waders";"0.25"
"1989";"Waders";"476.5"
"1990";"Waders";"1101"
"1991";"Waders";"0"
"1992";"Waders";"0"
"1993";"Waders";"450.75"
"1994";"Waders";"100.75"
"1995";"Waders";"78.25"
"1996";"Waders";"7"
"1997";"Waders";"26.5"
"1998";"Waders";"14.75"
"1999";"Waders";"0"
"2000";"Waders";"40.5"
"2001";"Waders";"36.75"
"2002";"Waders";"60.5"
"2003";"Waders";"87"
"2004";"Waders";"190.75"
"2005";"Waders";"903.5"
"2006";"Waders";"215.25"
"2007";"Waders";"300.75"
"2008";"Waders";"261.5"
"2009";"Waders";"322.5"
"2010";"Waders";"455.25"
"2011";"Waders";"1887.5"
"2012";"Waders";"2258"
"2013";"Waders";"1602.25"
"2014";"Waders";"1448"
"2015";"Waders";"1581.25"
"2016";"Waders";NA
"1981";"Ducks";"314"
"1982";"Ducks";"406.25"
"1983";"Ducks";"451"
"1984";"Ducks";"390"
"1985";"Ducks";"599.75"
"1986";"Ducks";"0"
"1987";"Ducks";"312.25"
"1988";"Ducks";"388.5"
"1989";"Ducks";"471.25"
"1990";"Ducks";"959.5"
"1991";"Ducks";"568.5"
"1992";"Ducks";"462.25"
"1993";"Ducks";"525"
"1994";"Ducks";"401"
"1995";"Ducks";"386.75"
"1996";"Ducks";"377.25"
"1997";"Ducks";"293"
"1998";"Ducks";"367"
"1999";"Ducks";"530.75"
"2000";"Ducks";"306.25"
"2001";"Ducks";"391"
"2002";"Ducks";"450"
"2003";"Ducks";"399.5"
"2004";"Ducks";"485.25"
"2005";"Ducks";"422"
"2006";"Ducks";"346.75"
"2007";"Ducks";"354.5"
"2008";"Ducks";"483.5"
"2009";"Ducks";"530.25"
"2010";"Ducks";"352"
"2011";"Ducks";"370"
"2012";"Ducks";"599.75"
"2013";"Ducks";"381"
"2014";"Ducks";"338.75"
"2015";"Ducks";"379.75"
"2016";"Ducks";NA
"1981";"Not-waders";"389.25"
"1982";"Not-waders";"500.75"
"1983";"Not-waders";"608"
"1984";"Not-waders";"490.5"
"1985";"Not-waders";"927.25"
"1986";"Not-waders";"0"
"1987";"Not-waders";"529.5"
"1988";"Not-waders";"710"
"1989";"Not-waders";"763.25"
"1990";"Not-waders";"1324.75"
"1991";"Not-waders";"1018"
"1992";"Not-waders";"780.25"
"1993";"Not-waders";"896.75"
"1994";"Not-waders";"783.75"
"1995";"Not-waders";"821.5"
"1996";"Not-waders";"709"
"1997";"Not-waders";"655.5"
"1998";"Not-waders";"719"
"1999";"Not-waders";"944.25"
"2000";"Not-waders";"695.75"
"2001";"Not-waders";"629.25"
"2002";"Not-waders";"647.75"
"2003";"Not-waders";"783.75"
"2004";"Not-waders";"857.75"
"2005";"Not-waders";"719.75"
"2006";"Not-waders";"647.75"
"2007";"Not-waders";"525.5"
"2008";"Not-waders";"528"
"2009";"Not-waders";"595.25"
"2010";"Not-waders";"386.25"
"2011";"Not-waders";"528"
"2012";"Not-waders";"748.25"
"2013";"Not-waders";"530.5"
"2014";"Not-waders";"440.5"
"2015";"Not-waders";"484.5"
"2016";"Not-waders";NA
"1981";"Freq";"1330.5"
"1982";"Freq";"1159.5"
"1983";"Freq";"850.25"
