"Anas";"Calidris";"Waders";"Ducks";"Not-waders";"Freq";"Cormorant";"HeronEgret"
"1981";201.25;900.25;941.25;314;389.25;1330.5;16.25;18.25
"1982";296;650.25;659.25;406.25;500.75;1159.5;7;25.75
"1983";254.5;202.75;242.25;451;608;850.25;16.25;33.75
"1984";123.5;2675;2835;390;490.5;3325.25;30;27.75
"1985";279;420;444;599.75;927.25;1371;70;174.5
"1986";0;1827.75;1896.5;0;0;1896.5;0;0
"1987";112.75;550.75;575;312.25;529.5;1104.5;37.5;40.5
"1988";161;0;0.25;388.5;710;710.25;77.5;150
"1989";175.25;429.5;476.5;471.25;763.25;1239.75;95;77.5
"1990";455.5;1031;1101;959.5;1324.75;2425.75;62.5;23.75
"1991";415;0;0;568.5;1018;1018;72.5;50
"1992";211.25;0;0;462.25;780.25;780;95;50
"1993";177.25;450.25;450.75;525;896.75;1347.25;67.5;90
"1994";251.75;100;100.75;401;783.75;884.5;77.75;60
"1995";153.75;17;78.25;386.75;821.5;898.5;78;42.5
"1996";148;0;7;377.25;709;715.75;56.25;62.5
"1997";112.5;1;26.5;293;655.5;681.75;50;80
"1998";156.25;0;14.75;367;719;733.5;58;55
"1999";198;0;0;530.75;944.25;944.25;44.5;78
"2000";154.75;9.25;40.5;306.25;695.75;735.25;62.5;52.5
"2001";168;0;36.75;391;629.25;666;41.25;51.25
"2002";183.75;0;60.5;450;647.75;707.25;32;31
"2003";141.5;0.25;87;399.5;783.75;870.75;58;34.75
"2004";263.25;11.25;190.75;485.25;857.75;1048.5;40.5;25.75
"2005";279.5;650.75;903.5;422;719.75;1622.5;20.75;18
"2006";180.25;35.25;215.25;346.75;647.75;828.25;37;26.75
"2007";150;78;300.75;354.5;525.5;801.75;49;20.75
"2008";187.25;5.75;261.5;483.5;528;789;0.5;1.25
"2009";241.75;67.5;322.5;530.25;595.25;909.25;2.25;11.5
"2010";200;123.75;455.25;352;386.25;837.5;0;0
"2011";220.75;1496;1887.5;370;528;2379.25;2.25;15
"2012";374.75;1802.75;2258;599.75;748.25;2997.5;54.25;21.25
"2013";154.75;992.25;1602.25;381;530.5;2117.75;44.75;13.25
"2014";167.5;919.5;1448;338.75;440.5;1875.5;35.5;7.75
"2015";209;887.25;1581.25;379.75;484.5;2059.5;35.25;5.75
"2016";NA;NA;NA;NA;NA;NA;NA;NA
