"","dates","sp_all","abundance_cold"
"1","1981","Anas platyrhynchos",1290
"2","1982","Anas platyrhynchos",1160
"3","1983","Anas platyrhynchos",1683.75
"4","1984","Anas platyrhynchos",1230
"5","1985","Anas platyrhynchos",2070
"6","1986","Anas platyrhynchos",1620
"7","1987","Anas platyrhynchos",2145
"8","1988","Anas platyrhynchos",1870
"9","1989","Anas platyrhynchos",1367.5
"10","1990","Anas platyrhynchos",1575
"11","1991","Anas platyrhynchos",1020
"12","1992","Anas platyrhynchos",1065
"13","1993","Anas platyrhynchos",576.25
"14","1994","Anas platyrhynchos",682.5
"15","1995","Anas platyrhynchos",755
"16","1996","Anas platyrhynchos",482.5
"17","1997","Anas platyrhynchos",562.5
"18","1998","Anas platyrhynchos",360
"19","1999","Anas platyrhynchos",324.5
"20","2000","Anas platyrhynchos",225
"21","2001","Anas platyrhynchos",307.5
"22","2002","Anas platyrhynchos",335
"23","2003","Anas platyrhynchos",280
"24","2004","Anas platyrhynchos",298.75
"25","2005","Anas platyrhynchos",112
"26","2006","Anas platyrhynchos",274
"27","2007","Anas platyrhynchos",468.5
"28","2008","Anas platyrhynchos",479.75
"29","2009","Anas platyrhynchos",890.5
"30","2010","Anas platyrhynchos",930.75
"31","2011","Anas platyrhynchos",983.5
"32","2012","Anas platyrhynchos",1143.75
"33","2013","Anas platyrhynchos",1525.75
"34","2014","Anas platyrhynchos",797.5
"35","2015","Anas platyrhynchos",1108.75
"36","1981","Anas acuta",202.5
"37","1982","Anas acuta",341.25
"38","1983","Anas acuta",229.5
"39","1984","Anas acuta",100.5
"40","1985","Anas acuta",1095
"41","1986","Anas acuta",816
"42","1987","Anas acuta",202.5
"43","1988","Anas acuta",1858.75
"44","1989","Anas acuta",1655.5
"45","1990","Anas acuta",1260
"46","1991","Anas acuta",2750
"47","1992","Anas acuta",2482.5
"48","1993","Anas acuta",2632.5
"49","1994","Anas acuta",2505
"50","1995","Anas acuta",3500
"51","1996","Anas acuta",571.5
"52","1997","Anas acuta",577.5
"53","1998","Anas acuta",695
"54","1999","Anas acuta",606.25
"55","2000","Anas acuta",522.5
"56","2001","Anas acuta",850.75
"57","2002","Anas acuta",742.5
"58","2003","Anas acuta",895
"59","2004","Anas acuta",1940
"60","2005","Anas acuta",1030
"61","2006","Anas acuta",663.75
"62","2007","Anas acuta",260.25
"63","2008","Anas acuta",574
"64","2009","Anas acuta",367.5
"65","2010","Anas acuta",393.5
"66","2011","Anas acuta",402.75
"67","2012","Anas acuta",569
"68","2013","Anas acuta",352.5
"69","2014","Anas acuta",252
"70","2015","Anas acuta",164.5
"71","1981","Anas strepera",885
"72","1982","Anas strepera",441.25
"73","1983","Anas strepera",1114
"74","1984","Anas strepera",162
"75","1985","Anas strepera",481.5
"76","1986","Anas strepera",201
"77","1987","Anas strepera",220.5
"78","1988","Anas strepera",170
"79","1989","Anas strepera",385.75
"80","1990","Anas strepera",487.5
"81","1991","Anas strepera",412.5
"82","1992","Anas strepera",157.5
"83","1993","Anas strepera",125.25
"84","1994","Anas strepera",39
"85","1995","Anas strepera",18
"86","1996","Anas strepera",2.5
"87","1997","Anas strepera",55
"88","1998","Anas strepera",5
"89","1999","Anas strepera",18.75
"90","2000","Anas strepera",15
"91","2001","Anas strepera",0
"92","2002","Anas strepera",0
"93","2003","Anas strepera",0
"94","2004","Anas strepera",0
"95","2005","Anas strepera",0
"96","2006","Anas strepera",1.5
"97","2007","Anas strepera",4.5
"98","2008","Anas strepera",10
"99","2009","Anas strepera",68.25
"100","2010","Anas strepera",111
"101","2011","Anas strepera",33.75
