"Anas";"Calidris";"Waders";"Ducks";"Tringa";"Freq";"Cormorant";"HeronEgret"
"1981";740803.75;245716.875;5580.75;1660147.5;382.5;2210647.5;366187.5;170250
"1982";581918.75;408070;9084.5;1325662.5;460.625;1615971.25;136237.5;128625
"1983";796358.75;489701.875;11031.5;1752345;1119.375;2318453.125;261450;182875
"1984";404953.125;452427.5;10245.75;1467709.375;0;1944243.125;275625;130875
"1985";927656.875;121610.625;2858;3509919.375;99.375;4680836.25;606375;444875
"1986";578710.625;152790;3527.75;2186023.125;0;2910956.875;358312.5;271000
"1987";569355.625;332004.375;7390;1698410.625;1003.75;2755916.875;649687.5;253000
"1988";926223.125;23652.5;555;3105654.375;0;4763336.25;992250;497500
"1989";864505;213030;4874.25;2812323.75;3828.125;4786375.125;1441125;302500
"1990";901259.375;132837.5;3151.25;3059853.125;273.75;4679984.375;1118250;113750
"1991";1136266.875;6682.5;168.5;3368316.875;0;5270130.625;1102500;235625
"1992";956068.75;230933.625;5169.75;2833175;0;5079392.25;1496250;153750
"1993";891401.875;49737.25;1150.25;2749433.125;763.125;4812725.75;1324575;257250
"1994";848185;4755;135.5;1937503.75;2600.625;4169776.75;1119037.5;196250
"1995";1040608.75;727.5;122;2215015;0;4303467.875;1151325;218750
"1996";473825;23680;607;1831443.75;1186.25;3466265.5;807187.5;164375
"1997";446300.625;30;90.75;1852344.375;1556.25;3812181.5;699300;178750
"1998";516726.25;91380;2137.75;2013976.25;6817.5;4334764;1111950;223125
"1999";493037.5;23570;630.25;2003692.5;4060.625;4640073.875;1055250;222750
"2000";364975;52796.25;1353.5;1533275;3910.625;4002530.125;1126125;112250
"2001";528908.75;5062.5;194.25;2481277.5;3241.875;4360031.625;857587.5;170250
"2002";458165;24042.5;689.75;1539765;4930.625;3076971.25;631575;107125
"2003";425081.25;29610;816.25;1820343.75;1433.75;3466636.875;687487.5;100625
"2004";582962.5;75085;2014.25;1675150;542.5;3247548;525262.5;102875
"2005";451793.75;54022.5;1787.75;1134917.5;868.125;2038057.625;151200;43625
"2006";388401.875;2085;323.25;1030614.375;868.125;2290252.75;516600;55125
"2007";548090.625;59226.25;2126.75;1931991.875;6351.25;3437103.875;618975;71375
"2008";522243.75;12056.25;1031;1652127.5;4386.875;1868978.5;98437.5;19125
"2009";643376.875;48855;1950.75;1959456.875;1760;2315077.75;166950;37625
"2010";622963.75;65950;2565.25;1494815;3186.25;1971953.125;284287.5;40625
"2011";743503.125;402884.375;10074.25;1511779.375;7319.375;2831340.5;996975;55375
"2012";795283.75;246211.25;7046.75;1750522.5;9969.375;2606852.625;529200;54125
"2013";739046.875;118739.375;4795.5;1886526.875;12063.75;2629109.375;485100;48000
"2014";658644.375;208511.25;6645.5;1454946.875;12276.875;2106063.875;441787.5;33125
"2015";744578.125;150296.25;5330;1628821.875;9823.75;2188978.375;285862.5;35000
"2016";NA;NA;NA;NA;NA;NA;NA;NA
