"","dates","sp_all","abundance_cold"
"1","1981","Anas platyrhynchos",4895
"2","1982","Anas platyrhynchos",5340
"3","1983","Anas platyrhynchos",7757.5
"4","1984","Anas platyrhynchos",4892.5
"5","1985","Anas platyrhynchos",9140
"6","1986","Anas platyrhynchos",6552.5
"7","1987","Anas platyrhynchos",11225
"8","1988","Anas platyrhynchos",8705
"9","1989","Anas platyrhynchos",7545
"10","1990","Anas platyrhynchos",7907.5
"11","1991","Anas platyrhynchos",4807.5
"12","1992","Anas platyrhynchos",5875
"13","1993","Anas platyrhynchos",3212.5
"14","1994","Anas platyrhynchos",3461.25
"15","1995","Anas platyrhynchos",3925
"16","1996","Anas platyrhynchos",3010
"17","1997","Anas platyrhynchos",3185
"18","1998","Anas platyrhynchos",2832.5
"19","1999","Anas platyrhynchos",2296.5
"20","2000","Anas platyrhynchos",1843.5
"21","2001","Anas platyrhynchos",2136.25
"22","2002","Anas platyrhynchos",2957.5
"23","2003","Anas platyrhynchos",2284.5
"24","2004","Anas platyrhynchos",2315
"25","2005","Anas platyrhynchos",976.5
"26","2006","Anas platyrhynchos",2019
"27","2007","Anas platyrhynchos",3618.5
"28","2008","Anas platyrhynchos",3688.25
"29","2009","Anas platyrhynchos",6930
"30","2010","Anas platyrhynchos",6524.75
"31","2011","Anas platyrhynchos",8180.75
"32","2012","Anas platyrhynchos",9579.5
"33","2013","Anas platyrhynchos",10863.25
"34","2014","Anas platyrhynchos",9617.75
"35","2015","Anas platyrhynchos",9794
"36","1981","Anas acuta",790.75
"37","1982","Anas acuta",1677
"38","1983","Anas acuta",1052.5
"39","1984","Anas acuta",401
"40","1985","Anas acuta",5340
"41","1986","Anas acuta",3086.5
"42","1987","Anas acuta",1076.25
"43","1988","Anas acuta",9069.5
"44","1989","Anas acuta",8900
"45","1990","Anas acuta",6176.25
"46","1991","Anas acuta",12545
"47","1992","Anas acuta",13962.5
"48","1993","Anas acuta",16185
"49","1994","Anas acuta",12807.5
"50","1995","Anas acuta",17355
"51","1996","Anas acuta",3468.5
"52","1997","Anas acuta",3405
"53","1998","Anas acuta",5472.5
"54","1999","Anas acuta",4277.5
"55","2000","Anas acuta",4052
"56","2001","Anas acuta",5913.75
"57","2002","Anas acuta",5957.5
"58","2003","Anas acuta",6540
"59","2004","Anas acuta",13530
"60","2005","Anas acuta",9637.5
"61","2006","Anas acuta",4705.75
"62","2007","Anas acuta",1035.75
"63","2008","Anas acuta",4709.75
"64","2009","Anas acuta",3072.75
"65","2010","Anas acuta",3192.5
"66","2011","Anas acuta",2858.75
"67","2012","Anas acuta",4746.5
"68","2013","Anas acuta",3355.5
"69","2014","Anas acuta",2046
"70","2015","Anas acuta",1852.25
"71","1981","Anas strepera",3338.75
"72","1982","Anas strepera",1991.25
"73","1983","Anas strepera",5143
"74","1984","Anas strepera",644.25
"75","1985","Anas strepera",1999.25
"76","1986","Anas strepera",874
"77","1987","Anas strepera",1168
"78","1988","Anas strepera",784.5
"79","1989","Anas strepera",2144.5
"80","1990","Anas strepera",2567.5
"81","1991","Anas strepera",2048.75
"82","1992","Anas strepera",851.25
"83","1993","Anas strepera",766.25
"84","1994","Anas strepera",195.5
"85","1995","Anas strepera",86
"86","1996","Anas strepera",14.25
"87","1997","Anas strepera",337.5
"88","1998","Anas strepera",40
"89","1999","Anas strepera",128
"90","2000","Anas strepera",110.75
"91","2001","Anas strepera",0
"92","2002","Anas strepera",0
"93","2003","Anas strepera",0
"94","2004","Anas strepera",0
"95","2005","Anas strepera",0
"96","2006","Anas strepera",3.5
"97","2007","Anas strepera",24
"98","2008","Anas strepera",78.5
"99","2009","Anas strepera",492.75
"100","2010","Anas strepera",767
"101","2011","Anas strepera",191.75
"102","2012","Anas strepera",394
"103","2013","Anas strepera",39
"104","2014","Anas strepera",14
"105","2015","Anas strepera",30
"106","1981","Anas penelope",91.25
"107","1982","Anas penelope",27.75
"108","1983","Anas penelope",57
"109","1984","Anas penelope",29.75
"110","1985","Anas penelope",70.25
"111","1986","Anas penelope",41
"112","1987","Anas penelope",71
"113","1988","Anas penelope",122.5
"114","1989","Anas penelope",66.5
"115","1990","Anas penelope",114.25
"116","1991","Anas penelope",49.25
"117","1992","Anas penelope",81.5
"118","1993","Anas penelope",26.5
"119","1994","Anas penelope",46.25
"120","1995","Anas penelope",100.5
"121","1996","Anas penelope",0
"122","1997","Anas penelope",7
"123","1998","Anas penelope",20.5
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",34.25
"127","2002","Anas penelope",36.25
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",4.5
"132","2007","Anas penelope",89
"133","2008","Anas penelope",0
"134","2009","Anas penelope",25.5
"135","2010","Anas penelope",23
"136","2011","Anas penelope",26.5
"137","2012","Anas penelope",17
"138","2013","Anas penelope",39.75
"139","2014","Anas penelope",3
"140","2015","Anas penelope",35.5
"141","1981","Anas clypeata",1394.25
"142","1982","Anas clypeata",989.25
"143","1983","Anas clypeata",1444.5
"144","1984","Anas clypeata",374.5
"145","1985","Anas clypeata",2321.75
"146","1986","Anas clypeata",1037.5
"147","1987","Anas clypeata",860.5
"148","1988","Anas clypeata",2422.5
"149","1989","Anas clypeata",1981.5
"150","1990","Anas clypeata",3351.25
"151","1991","Anas clypeata",7685
"152","1992","Anas clypeata",7757.5
"153","1993","Anas clypeata",7071.5
"154","1994","Anas clypeata",6115
"155","1995","Anas clypeata",5686.25
"156","1996","Anas clypeata",3890
"157","1997","Anas clypeata",3172.25
"158","1998","Anas clypeata",2966.25
"159","1999","Anas clypeata",3110
"160","2000","Anas clypeata",2664.5
"161","2001","Anas clypeata",4459.5
"162","2002","Anas clypeata",2236.75
"163","2003","Anas clypeata",1889.25
"164","2004","Anas clypeata",3337.5
"165","2005","Anas clypeata",4482
"166","2006","Anas clypeata",722
"167","2007","Anas clypeata",2480.25
"168","2008","Anas clypeata",5323.5
"169","2009","Anas clypeata",4098.25
"170","2010","Anas clypeata",9771
"171","2011","Anas clypeata",5840.25
"172","2012","Anas clypeata",8807.75
"173","2013","Anas clypeata",5043.5
"174","2014","Anas clypeata",3830
"175","2015","Anas clypeata",10619.25
"176","1981","Anas crecca",21510
"177","1982","Anas crecca",18727.5
"178","1983","Anas crecca",24600
"179","1984","Anas crecca",9272.5
"180","1985","Anas crecca",20295
"181","1986","Anas crecca",7575
"182","1987","Anas crecca",8621.25
"183","1988","Anas crecca",17760
"184","1989","Anas crecca",27465
"185","1990","Anas crecca",26952.5
"186","1991","Anas crecca",24065
"187","1992","Anas crecca",20060
"188","1993","Anas crecca",20915
"189","1994","Anas crecca",19377.5
"190","1995","Anas crecca",18292.5
"191","1996","Anas crecca",14847.5
"192","1997","Anas crecca",14130
"193","1998","Anas crecca",26495
"194","1999","Anas crecca",21965
"195","2000","Anas crecca",19511.25
"196","2001","Anas crecca",17980
"197","2002","Anas crecca",22550
"198","2003","Anas crecca",19610
"199","2004","Anas crecca",17441.25
"200","2005","Anas crecca",12389.25
"201","2006","Anas crecca",3081.75
"202","2007","Anas crecca",9451.75
"203","2008","Anas crecca",15144.25
"204","2009","Anas crecca",17121.5
"205","2010","Anas crecca",16725.75
"206","2011","Anas crecca",8317.25
"207","2012","Anas crecca",12963.25
"208","2013","Anas crecca",14963.75
"209","2014","Anas crecca",11537.75
"210","2015","Anas crecca",14008.75
"211","1981","Aythya ferina",9380
"212","1982","Aythya ferina",6076.5
"213","1983","Aythya ferina",7736
"214","1984","Aythya ferina",2758.75
"215","1985","Aythya ferina",12847.5
"216","1986","Aythya ferina",6871
"217","1987","Aythya ferina",3115
"218","1988","Aythya ferina",4965
"219","1989","Aythya ferina",6740
"220","1990","Aythya ferina",4015
"221","1991","Aythya ferina",3248.75
"222","1992","Aythya ferina",3162.5
"223","1993","Aythya ferina",2607.5
"224","1994","Aythya ferina",1746.25
"225","1995","Aythya ferina",1200.25
"226","1996","Aythya ferina",445.5
"227","1997","Aythya ferina",987.5
"228","1998","Aythya ferina",215
"229","1999","Aythya ferina",191.5
"230","2000","Aythya ferina",680.25
"231","2001","Aythya ferina",1824
"232","2002","Aythya ferina",419.5
"233","2003","Aythya ferina",667.25
"234","2004","Aythya ferina",745
"235","2005","Aythya ferina",979.75
"236","2006","Aythya ferina",523.5
"237","2007","Aythya ferina",673
"238","2008","Aythya ferina",179.5
"239","2009","Aythya ferina",64.25
"240","2010","Aythya ferina",27.75
