"","dates","sp_all","abundance_cold"
"1","1981","Recurvirostra avosetta",0
"2","1982","Recurvirostra avosetta",33.5
"3","1983","Recurvirostra avosetta",61.25
"4","1984","Recurvirostra avosetta",0
"5","1985","Recurvirostra avosetta",47.25
"6","1986","Recurvirostra avosetta",179
"7","1987","Recurvirostra avosetta",82.5
"8","1988","Recurvirostra avosetta",3.75
"9","1989","Recurvirostra avosetta",20
"10","1990","Recurvirostra avosetta",143.25
"11","1991","Recurvirostra avosetta",20
"12","1992","Recurvirostra avosetta",3
"13","1993","Recurvirostra avosetta",2.5
"14","1994","Recurvirostra avosetta",0
"15","1995","Recurvirostra avosetta",1.75
"16","1996","Recurvirostra avosetta",99
"17","1997","Recurvirostra avosetta",28.25
"18","1998","Recurvirostra avosetta",104.25
"19","1999","Recurvirostra avosetta",35
"20","2000","Recurvirostra avosetta",323
"21","2001","Recurvirostra avosetta",32.5
"22","2002","Recurvirostra avosetta",453.5
"23","2003","Recurvirostra avosetta",583.25
"24","2004","Recurvirostra avosetta",647
"25","2005","Recurvirostra avosetta",1403.25
"26","2006","Recurvirostra avosetta",156
"27","2007","Recurvirostra avosetta",1372.75
"28","2008","Recurvirostra avosetta",1940.25
"29","2009","Recurvirostra avosetta",867.75
"30","2010","Recurvirostra avosetta",4603.75
"31","2011","Recurvirostra avosetta",2060.5
"32","2012","Recurvirostra avosetta",3405
"33","2013","Recurvirostra avosetta",6968.75
"34","2014","Recurvirostra avosetta",6993.75
"35","2015","Recurvirostra avosetta",6379.5
"36","1981","Limosa limosa",4
"37","1982","Limosa limosa",3.25
"38","1983","Limosa limosa",0
"39","1984","Limosa limosa",0
"40","1985","Limosa limosa",1.25
"41","1986","Limosa limosa",19
"42","1987","Limosa limosa",97.5
"43","1988","Limosa limosa",2.25
"44","1989","Limosa limosa",12.5
"45","1990","Limosa limosa",12
"46","1991","Limosa limosa",1.25
"47","1992","Limosa limosa",0
"48","1993","Limosa limosa",0
"49","1994","Limosa limosa",45
"50","1995","Limosa limosa",58
"51","1996","Limosa limosa",0
"52","1997","Limosa limosa",73.5
"53","1998","Limosa limosa",217
"54","1999","Limosa limosa",91
"55","2000","Limosa limosa",276.5
"56","2001","Limosa limosa",104.75
"57","2002","Limosa limosa",348
"58","2003","Limosa limosa",551.25
"59","2004","Limosa limosa",1940
"60","2005","Limosa limosa",1994
"61","2006","Limosa limosa",1054.25
"62","2007","Limosa limosa",2251.25
"63","2008","Limosa limosa",5137.25
"64","2009","Limosa limosa",3011
"65","2010","Limosa limosa",5140
"66","2011","Limosa limosa",3249
"67","2012","Limosa limosa",5836
"68","2013","Limosa limosa",9165
"69","2014","Limosa limosa",7959.25
"70","2015","Limosa limosa",7263.5
"71","1981","Limosa lapponica",0
"72","1982","Limosa lapponica",2.75
"73","1983","Limosa lapponica",0
"74","1984","Limosa lapponica",0
"75","1985","Limosa lapponica",0
"76","1986","Limosa lapponica",0
"77","1987","Limosa lapponica",0
"78","1988","Limosa lapponica",0
"79","1989","Limosa lapponica",0
"80","1990","Limosa lapponica",0
"81","1991","Limosa lapponica",0
"82","1992","Limosa lapponica",0
"83","1993","Limosa lapponica",0
"84","1994","Limosa lapponica",0
"85","1995","Limosa lapponica",0
"86","1996","Limosa lapponica",0
"87","1997","Limosa lapponica",0
"88","1998","Limosa lapponica",46
"89","1999","Limosa lapponica",0
"90","2000","Limosa lapponica",54
"91","2001","Limosa lapponica",0
"92","2002","Limosa lapponica",6
"93","2003","Limosa lapponica",4.5
"94","2004","Limosa lapponica",57.5
"95","2005","Limosa lapponica",0
"96","2006","Limosa lapponica",0
"97","2007","Limosa lapponica",20
"98","2008","Limosa lapponica",0
"99","2009","Limosa lapponica",17
"100","2010","Limosa lapponica",2867.5
"101","2011","Limosa lapponica",427.5
"102","2012","Limosa lapponica",284
"103","2013","Limosa lapponica",1551.25
"104","2014","Limosa lapponica",371
"105","2015","Limosa lapponica",26.5
"106","1981","Calidris temminckii",0
"107","1982","Calidris temminckii",0
"108","1983","Calidris temminckii",0
"109","1984","Calidris temminckii",0
"110","1985","Calidris temminckii",0
"111","1986","Calidris temminckii",0
"112","1987","Calidris temminckii",0
"113","1988","Calidris temminckii",0
"114","1989","Calidris temminckii",0
"115","1990","Calidris temminckii",0
"116","1991","Calidris temminckii",0
"117","1992","Calidris temminckii",1.5
"118","1993","Calidris temminckii",1.25
"119","1994","Calidris temminckii",0
"120","1995","Calidris temminckii",0
"121","1996","Calidris temminckii",0
"122","1997","Calidris temminckii",0
"123","1998","Calidris temminckii",0
"124","1999","Calidris temminckii",0
"125","2000","Calidris temminckii",0
"126","2001","Calidris temminckii",0
"127","2002","Calidris temminckii",0
"128","2003","Calidris temminckii",0
"129","2004","Calidris temminckii",0
"130","2005","Calidris temminckii",0
"131","2006","Calidris temminckii",0
"132","2007","Calidris temminckii",0
"133","2008","Calidris temminckii",0
"134","2009","Calidris temminckii",0
"135","2010","Calidris temminckii",0
"136","2011","Calidris temminckii",0
"137","2012","Calidris temminckii",0
"138","2013","Calidris temminckii",0
"139","2014","Calidris temminckii",0
"140","2015","Calidris temminckii",0
"141","1981","Calidris canutus",35.5
"142","1982","Calidris canutus",376.5
"143","1983","Calidris canutus",119.75
"144","1984","Calidris canutus",0
"145","1985","Calidris canutus",15
"146","1986","Calidris canutus",84
"147","1987","Calidris canutus",256.5
"148","1988","Calidris canutus",0
"149","1989","Calidris canutus",0
"150","1990","Calidris canutus",28.75
"151","1991","Calidris canutus",0
"152","1992","Calidris canutus",79.5
"153","1993","Calidris canutus",0
"154","1994","Calidris canutus",6
"155","1995","Calidris canutus",0
"156","1996","Calidris canutus",0
"157","1997","Calidris canutus",0
"158","1998","Calidris canutus",333.75
"159","1999","Calidris canutus",9.75
"160","2000","Calidris canutus",105
"161","2001","Calidris canutus",0
"162","2002","Calidris canutus",306.5
"163","2003","Calidris canutus",108
