"","dates","sp_all","abundance_cold"
"1","1981","Recurvirostra avosetta",0
"2","1982","Recurvirostra avosetta",1056.25
"3","1983","Recurvirostra avosetta",2193.75
"4","1984","Recurvirostra avosetta",0
"5","1985","Recurvirostra avosetta",3250
"6","1986","Recurvirostra avosetta",9993.75
"7","1987","Recurvirostra avosetta",2843.75
"8","1988","Recurvirostra avosetta",243.75
"9","1989","Recurvirostra avosetta",650
"10","1990","Recurvirostra avosetta",6825
"11","1991","Recurvirostra avosetta",1300
"12","1992","Recurvirostra avosetta",162.5
"13","1993","Recurvirostra avosetta",325
"14","1994","Recurvirostra avosetta",0
"15","1995","Recurvirostra avosetta",81.25
"16","1996","Recurvirostra avosetta",8043.75
"17","1997","Recurvirostra avosetta",1868.75
"18","1998","Recurvirostra avosetta",2681.25
"19","1999","Recurvirostra avosetta",1625
"20","2000","Recurvirostra avosetta",11050
"21","2001","Recurvirostra avosetta",5281.25
"22","2002","Recurvirostra avosetta",16737.5
"23","2003","Recurvirostra avosetta",24781.25
"24","2004","Recurvirostra avosetta",25350
"25","2005","Recurvirostra avosetta",56062.5
"26","2006","Recurvirostra avosetta",22425
"27","2007","Recurvirostra avosetta",95550
"28","2008","Recurvirostra avosetta",60856.25
"29","2009","Recurvirostra avosetta",41031.25
"30","2010","Recurvirostra avosetta",85718.75
"31","2011","Recurvirostra avosetta",69143.75
"32","2012","Recurvirostra avosetta",95225
"33","2013","Recurvirostra avosetta",178750
"34","2014","Recurvirostra avosetta",187443.75
"35","2015","Recurvirostra avosetta",181350
"36","1981","Limosa limosa",150
"37","1982","Limosa limosa",75
"38","1983","Limosa limosa",0
"39","1984","Limosa limosa",0
"40","1985","Limosa limosa",75
"41","1986","Limosa limosa",1050
"42","1987","Limosa limosa",3000
"43","1988","Limosa limosa",150
"44","1989","Limosa limosa",375
"45","1990","Limosa limosa",525
"46","1991","Limosa limosa",75
"47","1992","Limosa limosa",0
"48","1993","Limosa limosa",0
"49","1994","Limosa limosa",4650
"50","1995","Limosa limosa",3450
"51","1996","Limosa limosa",0
"52","1997","Limosa limosa",5625
"53","1998","Limosa limosa",7500
"54","1999","Limosa limosa",3900
"55","2000","Limosa limosa",8475
"56","2001","Limosa limosa",9975
"57","2002","Limosa limosa",16050
"58","2003","Limosa limosa",22200
"59","2004","Limosa limosa",68250
"60","2005","Limosa limosa",72975
"61","2006","Limosa limosa",49125
"62","2007","Limosa limosa",98625
"63","2008","Limosa limosa",138450
"64","2009","Limosa limosa",142800
"65","2010","Limosa limosa",138525
"66","2011","Limosa limosa",135825
"67","2012","Limosa limosa",155025
"68","2013","Limosa limosa",193200
"69","2014","Limosa limosa",196050
"70","2015","Limosa limosa",181350
"71","1981","Limosa lapponica",0
"72","1982","Limosa lapponica",111.5
"73","1983","Limosa lapponica",0
"74","1984","Limosa lapponica",0
"75","1985","Limosa lapponica",0
"76","1986","Limosa lapponica",0
"77","1987","Limosa lapponica",0
"78","1988","Limosa lapponica",0
"79","1989","Limosa lapponica",0
"80","1990","Limosa lapponica",0
"81","1991","Limosa lapponica",0
"82","1992","Limosa lapponica",0
"83","1993","Limosa lapponica",0
"84","1994","Limosa lapponica",0
"85","1995","Limosa lapponica",0
"86","1996","Limosa lapponica",0
"87","1997","Limosa lapponica",0
"88","1998","Limosa lapponica",1784
"89","1999","Limosa lapponica",0
"90","2000","Limosa lapponica",3010.5
"91","2001","Limosa lapponica",0
"92","2002","Limosa lapponica",557.5
"93","2003","Limosa lapponica",223
"94","2004","Limosa lapponica",3122
"95","2005","Limosa lapponica",0
"96","2006","Limosa lapponica",0
"97","2007","Limosa lapponica",780.5
"98","2008","Limosa lapponica",0
"99","2009","Limosa lapponica",446
"100","2010","Limosa lapponica",72586.5
"101","2011","Limosa lapponica",16167.5
"102","2012","Limosa lapponica",9477.5
"103","2013","Limosa lapponica",56084.5
"104","2014","Limosa lapponica",21965.5
"105","2015","Limosa lapponica",1115
"106","1981","Calidris temminckii",0
"107","1982","Calidris temminckii",0
"108","1983","Calidris temminckii",0
"109","1984","Calidris temminckii",0
"110","1985","Calidris temminckii",0
"111","1986","Calidris temminckii",0
"112","1987","Calidris temminckii",0
"113","1988","Calidris temminckii",0
"114","1989","Calidris temminckii",0
"115","1990","Calidris temminckii",0
"116","1991","Calidris temminckii",0
"117","1992","Calidris temminckii",6.125
"118","1993","Calidris temminckii",12.25
"119","1994","Calidris temminckii",0
"120","1995","Calidris temminckii",0
"121","1996","Calidris temminckii",0
"122","1997","Calidris temminckii",0
"123","1998","Calidris temminckii",0
"124","1999","Calidris temminckii",0
"125","2000","Calidris temminckii",0
"126","2001","Calidris temminckii",0
"127","2002","Calidris temminckii",0
"128","2003","Calidris temminckii",0
"129","2004","Calidris temminckii",0
"130","2005","Calidris temminckii",0
"131","2006","Calidris temminckii",0
"132","2007","Calidris temminckii",0
"133","2008","Calidris temminckii",0
"134","2009","Calidris temminckii",0
"135","2010","Calidris temminckii",0
"136","2011","Calidris temminckii",0
"137","2012","Calidris temminckii",0
"138","2013","Calidris temminckii",0
"139","2014","Calidris temminckii",0
"140","2015","Calidris temminckii",0
"141","1981","Calidris canutus",765
"142","1982","Calidris canutus",5312.5
"143","1983","Calidris canutus",2380
"144","1984","Calidris canutus",0
"145","1985","Calidris canutus",255
"146","1986","Calidris canutus",2040
"147","1987","Calidris canutus",4590
"148","1988","Calidris canutus",0
"149","1989","Calidris canutus",0
"150","1990","Calidris canutus",552.5
"151","1991","Calidris canutus",0
"152","1992","Calidris canutus",2252.5
"153","1993","Calidris canutus",0
"154","1994","Calidris canutus",255
"155","1995","Calidris canutus",0
"156","1996","Calidris canutus",0
"157","1997","Calidris canutus",0
"158","1998","Calidris canutus",4717.5
"159","1999","Calidris canutus",297.5
"160","2000","Calidris canutus",1657.5
"161","2001","Calidris canutus",0
"162","2002","Calidris canutus",4632.5
"163","2003","Calidris canutus",2040
"164","2004","Calidris canutus",4165
"165","2005","Calidris canutus",0
"166","2006","Calidris canutus",0
"167","2007","Calidris canutus",722.5
"168","2008","Calidris canutus",3952.5
"169","2009","Calidris canutus",2167.5
"170","2010","Calidris canutus",4547.5
"171","2011","Calidris canutus",22100
"172","2012","Calidris canutus",3272.5
"173","2013","Calidris canutus",6417.5
"174","2014","Calidris canutus",850
"175","2015","Calidris canutus",807.5
"176","1981","Calidris alba",0
"177","1982","Calidris alba",0
"178","1983","Calidris alba",0
"179","1984","Calidris alba",0
"180","1985","Calidris alba",0
"181","1986","Calidris alba",0
"182","1987","Calidris alba",0
"183","1988","Calidris alba",0
"184","1989","Calidris alba",0
"185","1990","Calidris alba",0
"186","1991","Calidris alba",0
"187","1992","Calidris alba",0
"188","1993","Calidris alba",0
"189","1994","Calidris alba",0
"190","1995","Calidris alba",0
"191","1996","Calidris alba",0
"192","1997","Calidris alba",0
"193","1998","Calidris alba",0
"194","1999","Calidris alba",0
"195","2000","Calidris alba",0
"196","2001","Calidris alba",0
"197","2002","Calidris alba",0
"198","2003","Calidris alba",0
"199","2004","Calidris alba",0
"200","2005","Calidris alba",0
"201","2006","Calidris alba",0
"202","2007","Calidris alba",0
"203","2008","Calidris alba",0
"204","2009","Calidris alba",0
"205","2010","Calidris alba",0
"206","2011","Calidris alba",0
"207","2012","Calidris alba",178.75
"208","2013","Calidris alba",0
"209","2014","Calidris alba",0
"210","2015","Calidris alba",32.5
"211","1981","Calidris alpina",244912.5
"212","1982","Calidris alpina",402750
"213","1983","Calidris alpina",487125
"214","1984","Calidris alpina",452250
"215","1985","Calidris alpina",121275
"216","1986","Calidris alpina",150750
"217","1987","Calidris alpina",327375
"218","1988","Calidris alpina",23625
"219","1989","Calidris alpina",212625
"220","1990","Calidris alpina",131962.5
"221","1991","Calidris alpina",6525
"222","1992","Calidris alpina",228375
"223","1993","Calidris alpina",49500
"224","1994","Calidris alpina",4500
"225","1995","Calidris alpina",652.5
"226","1996","Calidris alpina",23625
"227","1997","Calidris alpina",0
"228","1998","Calidris alpina",86625
"229","1999","Calidris alpina",23062.5
"230","2000","Calidris alpina",50906.25
"231","2001","Calidris alpina",5062.5
"232","2002","Calidris alpina",19012.5
"233","2003","Calidris alpina",27562.5
"234","2004","Calidris alpina",70875
"235","2005","Calidris alpina",54000
"236","2006","Calidris alpina",1912.5
"237","2007","Calidris alpina",57543.75
"238","2008","Calidris alpina",8088.75
"239","2009","Calidris alpina",46462.5
"240","2010","Calidris alpina",60997.5
"241","2011","Calidris alpina",380373.75
"242","2012","Calidris alpina",242257.5
"243","2013","Calidris alpina",111802.5
"244","2014","Calidris alpina",207180
"245","2015","Calidris alpina",149208.75
"246","1981","Calidris minuta",22.5
"247","1982","Calidris minuta",7.5
"248","1983","Calidris minuta",180
"249","1984","Calidris minuta",150
"250","1985","Calidris minuta",30
"251","1986","Calidris minuta",0
"252","1987","Calidris minuta",22.5
"253","1988","Calidris minuta",0
"254","1989","Calidris minuta",405
"255","1990","Calidris minuta",322.5
"256","1991","Calidris minuta",157.5
"257","1992","Calidris minuta",300
"258","1993","Calidris minuta",225
"259","1994","Calidris minuta",0
"260","1995","Calidris minuta",75
"261","1996","Calidris minuta",0
"262","1997","Calidris minuta",30
"263","1998","Calidris minuta",37.5
"264","1999","Calidris minuta",210
"265","2000","Calidris minuta",232.5
"266","2001","Calidris minuta",0
"267","2002","Calidris minuta",397.5
"268","2003","Calidris minuta",7.5
"269","2004","Calidris minuta",45
"270","2005","Calidris minuta",22.5
"271","2006","Calidris minuta",172.5
"272","2007","Calidris minuta",960
"273","2008","Calidris minuta",15
"274","2009","Calidris minuta",225
"275","2010","Calidris minuta",405
"276","2011","Calidris minuta",360
"277","2012","Calidris minuta",502.5
"278","2013","Calidris minuta",435
"279","2014","Calidris minuta",352.5
"280","2015","Calidris minuta",247.5
"281","1981","Gallinago gallinago",3650
"282","1982","Gallinago gallinago",1350
"283","1983","Gallinago gallinago",3800
"284","1984","Gallinago gallinago",10500
"285","1985","Gallinago gallinago",9300
"286","1986","Gallinago gallinago",3475
"287","1987","Gallinago gallinago",0
"288","1988","Gallinago gallinago",2325
"289","1989","Gallinago gallinago",1175
"290","1990","Gallinago gallinago",0
"291","1991","Gallinago gallinago",0
"292","1992","Gallinago gallinago",1500
"293","1993","Gallinago gallinago",0
"294","1994","Gallinago gallinago",0
"295","1995","Gallinago gallinago",5500
"296","1996","Gallinago gallinago",0
"297","1997","Gallinago gallinago",0
"298","1998","Gallinago gallinago",1050
"299","1999","Gallinago gallinago",0
"300","2000","Gallinago gallinago",3275
"301","2001","Gallinago gallinago",650
"302","2002","Gallinago gallinago",50
"303","2003","Gallinago gallinago",200
"304","2004","Gallinago gallinago",1850
"305","2005","Gallinago gallinago",675
"306","2006","Gallinago gallinago",1450
"307","2007","Gallinago gallinago",1775
"308","2008","Gallinago gallinago",3000
"309","2009","Gallinago gallinago",2200
"310","2010","Gallinago gallinago",975
"311","2011","Gallinago gallinago",600
"312","2012","Gallinago gallinago",1350
"313","2013","Gallinago gallinago",2300
"314","2014","Gallinago gallinago",1400
"315","2015","Gallinago gallinago",1475
"316","1981","Tringa nebularia",51.25
"317","1982","Tringa nebularia",153.75
"318","1983","Tringa nebularia",0
"319","1984","Tringa nebularia",0
