"Date";"Species";"Abundance"
"1981";"Anas";"740803.75"
"1982";"Anas";"581918.75"
"1983";"Anas";"796358.75"
"1984";"Anas";"404953.125"
"1985";"Anas";"927656.875"
"1986";"Anas";"578710.625"
"1987";"Anas";"569355.625"
"1988";"Anas";"926223.125"
"1989";"Anas";"864505"
"1990";"Anas";"901259.375"
"1991";"Anas";"1136266.875"
"1992";"Anas";"956068.75"
"1993";"Anas";"891401.875"
"1994";"Anas";"848185"
"1995";"Anas";"1040608.75"
"1996";"Anas";"473825"
"1997";"Anas";"446300.625"
"1998";"Anas";"516726.25"
"1999";"Anas";"493037.5"
"2000";"Anas";"364975"
"2001";"Anas";"528908.75"
"2002";"Anas";"458165"
"2003";"Anas";"425081.25"
"2004";"Anas";"582962.5"
"2005";"Anas";"451793.75"
"2006";"Anas";"388401.875"
"2007";"Anas";"548090.625"
"2008";"Anas";"522243.75"
"2009";"Anas";"643376.875"
"2010";"Anas";"622963.75"
"2011";"Anas";"743503.125"
"2012";"Anas";"795283.75"
"2013";"Anas";"739046.875"
"2014";"Anas";"658644.375"
"2015";"Anas";"744578.125"
"2016";"Anas";NA
"1981";"Calidris";"245716.875"
"1982";"Calidris";"408070"
"1983";"Calidris";"489701.875"
"1984";"Calidris";"452400"
"1985";"Calidris";"121610.625"
"1986";"Calidris";"152790"
"1987";"Calidris";"332004.375"
"1988";"Calidris";"23625"
"1989";"Calidris";"213030"
"1990";"Calidris";"132837.5"
"1991";"Calidris";"6682.5"
"1992";"Calidris";"230933.625"
"1993";"Calidris";"49737.25"
"1994";"Calidris";"4755"
"1995";"Calidris";"727.5"
"1996";"Calidris";"23625"
"1997";"Calidris";"30"
"1998";"Calidris";"91380"
"1999";"Calidris";"23570"
"2000";"Calidris";"52796.25"
"2001";"Calidris";"5062.5"
"2002";"Calidris";"24042.5"
"2003";"Calidris";"29610"
"2004";"Calidris";"75085"
"2005";"Calidris";"54022.5"
"2006";"Calidris";"2085"
"2007";"Calidris";"59226.25"
"2008";"Calidris";"12056.25"
"2009";"Calidris";"48855"
"2010";"Calidris";"65950"
"2011";"Calidris";"402884.375"
"2012";"Calidris";"246211.25"
"2013";"Calidris";"118739.375"
"2014";"Calidris";"208483.75"
"2015";"Calidris";"150296.25"
"2016";"Calidris";NA
"1981";"Waders";"268450"
"1982";"Waders";"427199"
"1983";"Waders";"522720"
"1984";"Waders";"482517.5"
"1985";"Waders";"145398.75"
"1986";"Waders";"186718.75"
"1987";"Waders";"357095"
"1988";"Waders";"27578.75"
"1989";"Waders";"238055.625"
"1990";"Waders";"175258.75"
"1991";"Waders";"11027.5"
"1992";"Waders";"241743.75"
"1993";"Waders";"56531.25"
"1994";"Waders";"12570.625"
"1995";"Waders";"18625"
"1996";"Waders";"44422.5"
"1997";"Waders";"20432.5"
