"Anas";"Calidris";"Waders";"Ducks";"Not-waders";"Freq";"Cormorant";"HeronEgret"
"1981";1412;5448;5580.75;2436.75;2714.75;2714.5;116.25;118
"1982";1061.5;8982;9085;1954.75;2162.75;2161.75;43.25;91.25
"1983";1403.5;10845.75;11032;2412;3015.25;3014.75;83;138.25
"1984";655.75;10055;10245.75;1641.75;2030.5;2029.75;87.5;95.75
"1985";1477.75;2698.5;2858.25;3818.25;4990.5;4987.75;192.5;605.75
"1986";789.75;3362;3527.75;2257.75;2973;2971.75;113.75;349.5
"1987";729;7303.5;7390.5;1681;2507.5;2506.75;206.25;216
"1988";1400.25;525;555;3162.75;4581.25;4580;315;665
"1989";1460.5;4738.5;4874.25;3016;4232.75;4232.75;457.5;275
"1990";1531.25;2946.5;3151.25;3417;4626.5;4626.25;355;95
"1991";1860.5;150.25;168.5;3751.5;5240;5240;350;241.25
"1992";1485;5098.5;5169.5;3365;4961.5;4961;475;137.5
"1993";1442.5;1108;1149.75;3295.75;4915.25;4912.75;420.5;224.5
"1994";1380.25;101.5;135.5;2298.5;4220;4220;355.25;170
"1995";1592.75;17;122;2695.75;4309.25;4308;365.5;190
"1996";851.5;525;607;1972.75;3230.75;3228.75;256.25;161.25
"1997";794.25;1;90.75;2121.25;3629.25;3628.25;222;152.5
"1998";1038.75;1954;2137.75;2560.5;4189.5;4188.75;353;191.25
"1999";992.25;521.25;630.25;2656.75;4865.75;4860.75;335;203
"2000";739;1148.75;1353.5;1956.25;3814;3813.5;357.5;119.5
"2001";973.25;112.5;194.25;3108.75;4468;4468;272.25;193
"2002";884.5;463;689.75;1847.5;2851.25;2849.25;200.5;134.75
"2003";809.25;624.75;816.25;2212.25;3392;3390.75;218.25;121.75
"2004";954.5;1601;2014.25;1920.25;3138.75;3138.75;166.75;133.25
"2005";745.25;1200.75;1787.75;1384.5;2104;2104;48;57.25
"2006";577;48.25;323.25;1215;2072.5;1961.25;164;67.25
"2007";881.75;1315;2126.75;2448;3666;3445;196.5;90.25
"2008";877.75;203.5;1031;2193.75;2405;2382;31.25;22.75
"2009";1064.75;1052.75;1950.75;2570.5;2876.75;2836;53;51.75
"2010";1006;1395.75;2565.25;1974.75;2308.75;2294.75;90.25;64.75
"2011";1039.5;8595.5;10074.5;1870.25;2749;2550.25;316.5;80.75
"2012";1167.75;5422.5;7047;1956.25;2513.25;2479.5;168;91.25
"2013";1071.5;2538;4795.5;1985.75;2464.75;2439.75;154;67.5
"2014";950.75;4622.25;6645.5;1690.5;2116.75;2103.5;140.25;61.25
"2015";1097.75;3329.25;5330;1815.5;2242.5;2192;90.75;47
"2016";NA;NA;NA;NA;NA;NA;NA;NA
