"Anas";"Calidris";"Waders";"Ducks";"Freq";"Cormorant";"HeronEgret"
"1981";740803.75;245716.875;268450;1660147.5;2210647.5;366187.5;118
"1982";581918.75;408070;427199;1325662.5;1615971.25;136237.5;91.25
"1983";796358.75;489701.875;522720;1752345;2318453.125;261450;138.25
"1984";404953.125;452400;482517.5;1467709.375;1944243.125;275625;95.75
"1985";927656.875;121610.625;145398.75;3509919.375;4680836.25;606375;605.75
"1986";578710.625;152790;186718.75;2186023.125;2910956.875;358312.5;349.5
"1987";569355.625;332004.375;357095;1698410.625;2755916.875;649687.5;216
"1988";926223.125;23625;27578.75;3105654.375;4763336.25;992250;665
"1989";864505;213030;238055.625;2812323.75;4786375.125;1441125;275
"1990";901259.375;132837.5;175258.75;3059853.125;4679984.375;1118250;95
"1991";1136266.875;6682.5;11027.5;3368316.875;5270130.625;1102500;241.25
"1992";956068.75;230933.625;241743.75;2833175;5079392.25;1496250;137.5
"1993";891401.875;49737.25;56531.25;2749433.125;4812725.75;1324575;224.5
"1994";848185;4755;12570.625;1937503.75;4169776.75;1119037.5;170
"1995";1040608.75;727.5;18625;2215015;4303467.875;1151325;190
"1996";473825;23625;44422.5;1831443.75;3466265.5;807187.5;161.25
"1997";446300.625;30;20432.5;1852344.375;3812181.5;699300;152.5
"1998";516726.25;91380;126274.625;2013976.25;4334764;1111950;191.25
"1999";493037.5;23570;47936.875;2003692.5;4640073.875;1055250;203
"2000";364975;52796.25;99763;1533275;4002530.125;1126125;119.5
"2001";528908.75;5062.5;26338.125;2481277.5;4360031.625;857587.5;193
"2002";458165;24042.5;79269.375;1539765;3076971.25;631575;134.75
"2003";425081.25;29610;85409.875;1820343.75;3466636.875;687487.5;121.75
"2004";582962.5;75085;187529.5;1675150;3247548;525262.5;133.25
"2005";451793.75;54022.5;210574.375;1134917.5;2038057.625;151200;57.25
"2006";388401.875;2085;80704.375;1030614.375;2290252.75;516600;67.25
"2007";548090.625;59226.25;293908;1931991.875;3437103.875;618975;90.25
"2008";522243.75;12056.25;249866.25;1652127.5;1868978.5;98437.5;22.75
"2009";643376.875;48855;339842.25;1959456.875;2315077.75;166950;51.75
"2010";622963.75;65950;427625.875;1494815;1971953.125;284287.5;64.75
"2011";743503.125;402884.375;975505.625;1511779.375;2831340.5;996975;80.75
"2012";795283.75;246211.25;1015281.875;1750522.5;2606852.625;529200;91.25
"2013";739046.875;118739.375;1166074.5;1886526.875;2629109.375;485100;67.5
"2014";658644.375;208483.75;1037084.25;1454946.875;2106063.875;441787.5;61.25
"2015";744578.125;150296.25;1045908.125;1628821.875;2188978.375;285862.5;47
"2016";NA;NA;NA;NA;NA;NA;NA
