"","dates","sp_all","abundance_cold"
"1","1981","Anas platyrhynchos",241875
"2","1982","Anas platyrhynchos",222187.5
"3","1983","Anas platyrhynchos",307968.75
"4","1984","Anas platyrhynchos",230625
"5","1985","Anas platyrhynchos",388125
"6","1986","Anas platyrhynchos",303750
"7","1987","Anas platyrhynchos",402187.5
"8","1988","Anas platyrhynchos",354375
"9","1989","Anas platyrhynchos",258750
"10","1990","Anas platyrhynchos",295312.5
"11","1991","Anas platyrhynchos",194062.5
"12","1992","Anas platyrhynchos",199687.5
"13","1993","Anas platyrhynchos",113906.25
"14","1994","Anas platyrhynchos",127968.75
"15","1995","Anas platyrhynchos",154687.5
"16","1996","Anas platyrhynchos",115312.5
"17","1997","Anas platyrhynchos",118125
"18","1998","Anas platyrhynchos",85781.25
"19","1999","Anas platyrhynchos",80718.75
"20","2000","Anas platyrhynchos",54000
"21","2001","Anas platyrhynchos",75937.5
"22","2002","Anas platyrhynchos",85781.25
"23","2003","Anas platyrhynchos",70593.75
"24","2004","Anas platyrhynchos",68906.25
"25","2005","Anas platyrhynchos",31500
"26","2006","Anas platyrhynchos",85218.75
"27","2007","Anas platyrhynchos",156937.5
"28","2008","Anas platyrhynchos",128531.25
"29","2009","Anas platyrhynchos",228093.75
"30","2010","Anas platyrhynchos",218531.25
"31","2011","Anas platyrhynchos",345937.5
"32","2012","Anas platyrhynchos",315562.5
"33","2013","Anas platyrhynchos",376312.5
"34","2014","Anas platyrhynchos",334687.5
"35","2015","Anas platyrhynchos",317531.25
"36","1981","Anas acuta",29531.25
"37","1982","Anas acuta",49656.25
"38","1983","Anas acuta",32812.5
"39","1984","Anas acuta",14656.25
"40","1985","Anas acuta",159687.5
"41","1986","Anas acuta",119000
"42","1987","Anas acuta",29531.25
"43","1988","Anas acuta",271687.5
"44","1989","Anas acuta",243468.75
"45","1990","Anas acuta",183750
"46","1991","Anas acuta",406875
"47","1992","Anas acuta",362031.25
"48","1993","Anas acuta",393750
"49","1994","Anas acuta",365312.5
"50","1995","Anas acuta",533750
