"","dates","sp_all","abundance_cold"
"1","1981","Recurvirostra avosetta",0
"2","1982","Recurvirostra avosetta",3.25
"3","1983","Recurvirostra avosetta",6.75
"4","1984","Recurvirostra avosetta",0
"5","1985","Recurvirostra avosetta",10
"6","1986","Recurvirostra avosetta",30.75
"7","1987","Recurvirostra avosetta",8.75
"8","1988","Recurvirostra avosetta",0.75
"9","1989","Recurvirostra avosetta",2
"10","1990","Recurvirostra avosetta",21
"11","1991","Recurvirostra avosetta",4
"12","1992","Recurvirostra avosetta",0.5
"13","1993","Recurvirostra avosetta",1
"14","1994","Recurvirostra avosetta",0
"15","1995","Recurvirostra avosetta",0.25
"16","1996","Recurvirostra avosetta",24.75
"17","1997","Recurvirostra avosetta",5.75
"18","1998","Recurvirostra avosetta",8.25
"19","1999","Recurvirostra avosetta",5
"20","2000","Recurvirostra avosetta",34
"21","2001","Recurvirostra avosetta",16.25
"22","2002","Recurvirostra avosetta",51.5
"23","2003","Recurvirostra avosetta",76.25
"24","2004","Recurvirostra avosetta",78
"25","2005","Recurvirostra avosetta",172.5
"26","2006","Recurvirostra avosetta",69
"27","2007","Recurvirostra avosetta",294
"28","2008","Recurvirostra avosetta",187.25
"29","2009","Recurvirostra avosetta",126.25
"30","2010","Recurvirostra avosetta",263.75
"31","2011","Recurvirostra avosetta",212.75
"32","2012","Recurvirostra avosetta",293
"33","2013","Recurvirostra avosetta",550
"34","2014","Recurvirostra avosetta",576.75
"35","2015","Recurvirostra avosetta",558
"36","1981","Limosa limosa",0.5
"37","1982","Limosa limosa",0.25
"38","1983","Limosa limosa",0
"39","1984","Limosa limosa",0
"40","1985","Limosa limosa",0.25
"41","1986","Limosa limosa",3.5
"42","1987","Limosa limosa",10
"43","1988","Limosa limosa",0.5
"44","1989","Limosa limosa",1.25
"45","1990","Limosa limosa",1.75
"46","1991","Limosa limosa",0.25
"47","1992","Limosa limosa",0
"48","1993","Limosa limosa",0
"49","1994","Limosa limosa",15.5
"50","1995","Limosa limosa",11.5
"51","1996","Limosa limosa",0
"52","1997","Limosa limosa",18.75
"53","1998","Limosa limosa",25
"54","1999","Limosa limosa",13
"55","2000","Limosa limosa",28.25
"56","2001","Limosa limosa",33.25
"57","2002","Limosa limosa",53.5
"58","2003","Limosa limosa",74
"59","2004","Limosa limosa",227.5
"60","2005","Limosa limosa",243.25
"61","2006","Limosa limosa",163.75
"62","2007","Limosa limosa",328.75
"63","2008","Limosa limosa",461.5
"64","2009","Limosa limosa",476
"65","2010","Limosa limosa",461.75
"66","2011","Limosa limosa",452.75
"67","2012","Limosa limosa",516.75
"68","2013","Limosa limosa",644
"69","2014","Limosa limosa",653.5
"70","2015","Limosa limosa",604.5
"71","1981","Limosa lapponica",0
