GENRE;Nom_Commun;Nom_Latin;CATEGORIE;TYPE
GAVIIDÉS;Plongeon catmarin;Gavia stellata;A;Migrateur Hivernant
GAVIIDÉS;Plongeon arctique;Gavia arctica;A;Migrateur Hivernant
GAVIIDÉS;Plongeon imbrin;Gavia immer;A;Migrateur Hivernant
GAVIIDÉS;Plongeon à bec blanc;Gavia adamsii;A;Hivernant occasionnel
PODICIPÉDIDÉS;Grèbe à bec bigarré;Podilymbus podiceps;A;Migrateur occasionnel Hivernant occasionnel
PODICIPÉDIDÉS;Grèbe castagneux;Tachybaptus ruficollis;A;Nicheur Migrateur Hivernant
PODICIPÉDIDÉS;Grèbe huppé;Podiceps cristatus;A;Nicheur Migrateur Hivernant
PODICIPÉDIDÉS;Grèbe jougris;Podiceps grisegena;A;Nicheur occasionnel Migrateur Hivernant
PODICIPÉDIDÉS;Grèbe esclavon;Podiceps auritus;A;Migrateur Hivernant
PODICIPÉDIDÉS;Grèbe à cou noir;Podiceps nigricollis;A;Nicheur Migrateur Hivernant
DIOMÉDÉIDÉS;Albatros à sourcils noirs;Diomedea melanophris;A;Migrateur occasionnel
DIOMÉDÉIDÉS;Albatros hurleur;Diomedea exulans;B;Migrateur occasionnel
PROCELLARIIDÉS;Fulmar géant de Hall;Macronectes giganteus hall;A;Migrateur occasionnel
PROCELLARIIDÉS;Fulmar boréal;Fulmarus glacialis;A;Nicheur Migrateur Hivernant rare
PROCELLARIIDÉS;Pétrel de Bulwer;Bulweria bulwerii;A;Migrateur occasionnel
PROCELLARIIDÉS;Puffin cendré;Calonectris diomedea;A;Nicheur Migrateur Hivernant occasionnel
PROCELLARIIDÉS;Puffin majeur;Puffinus gravis;A;Migrateur
PROCELLARIIDÉS;Puffin fuligineux;Puffinus griseus;A;Migrateur Hivernant occasionnel
PROCELLARIIDÉS;Puffin des Anglais;Puffinus puffinus;A;Nicheur Migrateur Hivernant rare
PROCELLARIIDÉS;Puffin des Baléares;Puffinus mauretanicus;A;Migrateur Hivernant
PROCELLARIIDÉS;Puffin yelkouan;Puffinus yelkouan;A;Nicheur Migrateur Hivernant
PROCELLARIIDÉS;Puffin semblable;Puffinus assimilis;A;Migrateur occasionnel
HYDROBATIDÉS;Océanite de Wilson;Oceanites oceanicus;A;Migrateur occasionnel
HYDROBATIDÉS;Océanite tempête;Hydrobates pelagicus;A;Nicheur Migrateur Hivernant
HYDROBATIDÉS;Océanite culblanc;Oceanodroma leucorhoa;A;Migrateur Hivernant
HYDROBATIDÉS;Océanite de Swinhoe;Oceanodroma monorhis;A;Migrateur occasionnel
HYDROBATIDÉS;Océanite de Castro;Oceanodroma castro;A;Migrateur occasionnel
SULIDÉS;Fou de Bassan;Morus bassanus;A;Nicheur Migrateur Hivernant
PHALACROCORACIDÉS;Grand Cormoran;Phalacrocorax carbo;A;Nicheur Migrateur Hivernant
PHALACROCORACIDÉS;Cormoran huppé;Phalacrocorax aristotelis;A;Nicheur sédentaire Migrateur Hivernant
PHALACROCORACIDÉS;Cormoran pygmée;Phalacrocorax pygmaeus;A;Migrateur occasionnel
PÉLÉCANIDÉS;Pélican blanc;Pelecanus onocrotalus;B,D1;Migrateur occasionnel
FRÉGATIDÉS;Frégate superbe;Fregata magnificens;B;Migrateur occasionnel
ARDÉIDÉS;Butor étoilé;Botaurus stellaris;A;Nicheur sédentaire Migrateur Hivernant
ARDÉIDÉS;Blongios nain;Ixobrychus minutus;A;Nicheur Migrateur
ARDÉIDÉS;Bihoreau gris;Nycticorax nycticorax;A;Nicheur Migrateur Hivernant rare
ARDÉIDÉS;Héron vert;Butorides virescens;A;Migrateur occasionnel
ARDÉIDÉS;Crabier chevelu;Ardeola ralloides;A;Nicheur Migrateur Hivernant occasionnel
