"Anas";"Calidris";"Waders";"Ducks";"Freq";"Cormorant";"HeronEgret"
"1981";103025.625;10546.875;17179;414338.125;545647.75;11812.5;63
"1982";102673.125;4100;9011.25;702229.375;972214.375;9450;215.25
"1983";153050.625;17875.625;34045.375;1241011.875;1907889.375;44887.5;407.25
"1984";208151.25;33973.75;68999.75;1101515;2413532.625;61425;1068.25
"1985";263032.5;16016.25;30820.125;1922928.75;3329956.25;13387.5;941.5
"1986";344353.125;10348.125;16133.5;2253016.875;4125626.5;3937.5;1677.5
"1987";123768.75;1912.5;23027.125;1182431.25;1473656.25;2362.5;163
"1988";224590;6939.375;11383.75;1422540;3597827.375;72450;1887.5
"1989";182553.75;4916.25;11280;1685528.75;3994437.375;149625;2482.5
"1990";258594.375;8049.375;15885.875;1403213.125;3928273.125;289800;2611.25
"1991";304537.5;5403.75;17014.375;1535381.25;3923760.25;245700;2180
"1992";254776.875;12521.25;18198.125;1480964.375;3582404.125;322087.5;1717.5
"1993";268786.25;1116.125;5156.875;1622366.25;4554796.5;701662.5;1885
"1994";148758.75;13846.875;40809.375;1539977.5;4471770.875;351225;1845
"1995";254572.5;7676.25;21963.75;1462853.75;4380261.5;218925;1810
"1996";256071.875;17487.5;30327.5;1646003.125;4773258.375;451237.5;2105
"1997";163318.75;2452.5;7575;999213.75;4069216.25;574875;1458.25
"1998";117475;483.75;833.125;983802.5;3875106.25;1089900;687.5
"1999";155178.75;6847.5;18479.625;1022113.75;4748446.5;1082812.5;780.25
"2000";153908.75;967.5;6079.375;1527128.75;5212615.625;1234800;1031.25
"2001";127937.5;4191.875;10726.25;1905467.5;5550826.25;1278900;580.5
"2002";122290;1046.25;7034.375;1488115;4381904;1108800;570
"2003";140887.5;1012.5;11249.375;1279960;5796732.75;1420650;800.25
"2004";154666.25;1500;7356.25;1498343.75;3925016.875;963112.5;224.5
"2005";83112.5;0;287.5;809243.75;2456577;491400;158.5
"2006";186650;258.75;7366.25;1027581.25;5322935.625;1293075;259.25
"2007";133850;24070.25;86587.75;787230;3029331;972562.5;161.25
"2008";204176.25;21623.125;125481.25;667938.75;1541900.875;435487.5;129
"2009";197830;8787.5;82670.875;664310;1369109.125;170100;133.25
"2010";241493.75;32745.875;120383.375;697096.25;1215709.5;163800;167.75
"2011";261112.5;14408.375;140373.375;768640;1059222.625;59062.5;90.75
"2012";402785;19550.5;436101.875;1074042.5;1623357.375;168525;141.25
"2013";577966.875;35695.375;601598.25;1400191.875;2126274.125;222075;177.25
"2014";259176.25;46216;702167.75;826536.25;1459302.125;198450;229.5
"2015";214681.25;10571.875;604934.375;754833.75;1295033.75;87412.5;181.5
"2016";NA;NA;NA;NA;NA;NA;NA
