;"Nom latin";"Nom commun ";"Passereau"
"1";"Prunella modularis";"Accenteur mouchet";
"2";"Aquila pennata";"Aigle botté";
"3";"Aquila clanga";"Aigle criard";
"4";"Egretta garzetta";"Aigrette garzette";
"5";"Alauda arvensis";"Alouette des champs";"x"
"6";"Lullula arborea";"Alouette lulu";"x"
"7";"Accipiter gentilis";"Autour des palombes";
"8";"Recurvirostra avosetta";"Avocette élégante";
"9";"Pandion haliaetus";"Balbuzard pêcheur";
"10";"Limosa limosa";"Barge à queue noire";
"11";"Limosa lapponica";"Barge rousse";
"12";"Calidris ruficollis";"Bécasseau à cou roux";
"13";"Calidris ferruginea";"Bécasseau cocorli";
"14";"Calidris fuscicollis";"Bécasseau de Bonaparte";
"15";"Calidris temminckii";"Bécasseau de Temminck";
"16";"Calidris himantopus";"Bécasseau échasse";
"17";"Limicola falcinellus";"Bécasseau falcinelle";
"18";"Calidris canutus";"Bécasseau maubèche";
"19";"Calidris minuta";"Bécasseau minute";
"20";"Tryngites subruficollis";"Bécasseau rousset";
"21";"Calidris alba";"Bécasseau sanderling";
"22";"Calidris pusilla";"Bécasseau semipalmé";
"23";"Calidris melanotos";"Bécasseau tacheté";
"24";"Calidris alpina";"Bécasseau variable";
"25";"Calidris maritima";"Bécasseau violet";
"26";"Scolopax rusticola";"Bécasse des bois";
"27";"Limnodromus scolopaceus";"Bécassin à long bec";
"28";"Gallinago gallinago";"Bécassine des marais";
"29";"Gallinago media";"Bécassine double";
"30";"Lymnocryptes minimus";"Bécassine sourde";
"31";"Loxia curvirostra";"Bec-croisé des sapins";
"32";"Motacilla cinerea";"Bergeronnette des ruisseaux";
"33";"Motacilla alba yarrellii";"Bergeronnette de Yarrell";
"34";"Motacilla flava cinereocapilla";"Bergeronnette d'Italie (M.f.cinereocapilla)";
"35";"Motacilla flava flavissima";"Bergeronnette flavéole (M.f.flavissima)";
"36";"Motacilla alba";"Bergeronnette grise";
"37";"Motacilla flava iberiae";"Bergeronnette ibérique (M.f.iberiae)";
"38";"Motacilla flava thunbergi";"Bergeronnette nordique (M.f.thunbergi)";
"39";"Motacilla flava";"Bergeronnette printanière";
"40";"Motacilla flava flava";"Bergeronnette printanière (M.f.flava)";
"41";"Branta bernicla";"Bernache cravant";
"42";"Branta canadensis";"Bernache du Canada";
"43";"Branta leucopsis";"Bernache nonnette";
"44";"Nycticorax nycticorax";"Bihoreau gris";
"45";"Ixobrychus minutus";"Blongios nain";
"46";"Pernis apivorus";"Bondrée apivore";
"47";"Cettia cetti";"Bouscarle de Cetti";
"48";"Pyrrhula pyrrhula";"Bouvreuil pivoine";
"49";"Plectrophenax nivalis";"Bruant des neiges";"x"
"50";"Emberiza schoeniclus";"Bruant des roseaux";"x"
"51";"Emberiza citrinella";"Bruant jaune";"x"
"52";"Emberiza hortulana";"Bruant ortolan";"x"
"53";"Emberiza calandra";"Bruant proyer";"x"
"54";"Circus pygargus";"Busard cendré";
"55";"Circus aeruginosus";"Busard des roseaux";
"56";"Circus cyaneus";"Busard Saint-Martin";
"57";"Buteo buteo";"Buse variable";
"58";"Botaurus stellaris";"Butor étoilé";
"59";"Coturnix coturnix";"Caille des blés";
"60";"Nymphicus hollandicus";"Calopsitte élégante";
"61";"Anas americana";"Canard à front blanc";
"62";"Anas strepera";"Canard chipeau";
"63";"Anas platyrhynchos";"Canard colvert";
"64";"Aix galericulata";"Canard mandarin";
"65";"Anas acuta";"Canard pilet";
"66";"Anas penelope";"Canard siffleur";
"67";"Anas clypeata";"Canard souchet";
"68";"Carduelis carduelis";"Chardonneret élégant";"x"
"69";"Tringa nebularia";"Chevalier aboyeur";
"70";"Tringa erythropus";"Chevalier arlequin";
"71";"Xenus cinereus";"Chevalier bargette";
"72";"Tringa ochropus";"Chevalier culblanc";
"73";"Tringa totanus";"Chevalier gambette";
"74";"Actitis hypoleucos";"Chevalier guignette";
"75";"Tringa stagnatilis";"Chevalier stagnatile";
"76";"Tringa glareola";"Chevalier sylvain";
"77";"Strix aluco";"Chouette hulotte";
"78";"Ciconia ciconia";"Cigogne blanche";
"79";"Ciconia nigra";"Cigogne noire";
"80";"Circaetus gallicus";"Circaète Jean-le-Blanc";
"81";"Cisticola juncidis";"Cisticole des joncs";
"82";"Philomachus pugnax";"Combattant varié";
"83";"Corvus corone";"Corneille noire";
"84";"Clamator glandarius";"Coucou geai";
"85";"Cuculus canorus";"Coucou gris";
"86";"Numenius arquata";"Courlis cendré";
"87";"Numenius phaeopus";"Courlis corlieu";
"88";"Ardeola ralloides";"Crabier chevelu";
"89";"Cygnus cygnus";"Cygne chanteur";
"90";"Cygnus atratus";"Cygne noir";
"91";"Cygnus olor";"Cygne tuberculé";
"92";"Himantopus himantopus";"Échasse blanche";
"93";"Tyto alba";"Effraie des clochers";
"94";"Elanus caeruleus";"Élanion blanc";
"95";"Caprimulgus europaeus";"Engoulevent d'Europe";
"96";"Accipiter nisus";"Épervier d'Europe";
"97";"Sturnus vulgaris";"Étourneau sansonnet";"x"
"98";"Phasianus colchicus";"Faisan de Colchide";
"99";"Falco tinnunculus";"Faucon crécerelle";
"100";"Falco eleonorae";"Faucon d'Eléonore";
"101";"Falco columbarius";"Faucon émerillon";
"102";"Falco subbuteo";"Faucon hobereau";
"103";"Falco vespertinus";"Faucon kobez";
