"Nom_latin";"Date";"Nombre"
"1";"Anas";"1981-01-15";"1768"
"2";"Anas";"1981-02-15";"934"
"3";"Anas";"1981-03-15";"835"
"4";"Anas";"1981-04-15";"78"
"5";"Anas";"1981-05-15";"37"
"6";"Anas";"1981-06-15";"69"
"7";"Anas";"1981-07-15";"141"
"8";"Anas";"1981-08-15";"203"
"9";"Anas";"1981-09-15";"466"
"10";"Anas";"1981-10-15";"911"
"11";"Anas";"1981-11-15";"1243"
"12";"Anas";"1981-12-15";"1882"
"13";"Anas";"1982-01-15";"1718"
"14";"Anas";"1982-02-15";"805"
"15";"Anas";"1982-03-15";"531"
"16";"Anas";"1982-04-15";"53"
"17";"Anas";"1982-05-15";"28"
"18";"Anas";"1982-06-15";"103"
"19";"Anas";"1982-07-15";"156"
"20";"Anas";"1982-08-15";"127"
"21";"Anas";"1982-09-15";"591"
"22";"Anas";"1982-10-15";"965"
"23";"Anas";"1982-11-15";"1061"
"24";"Anas";"1982-12-15";"1072"
"25";"Anas";"1983-01-15";"929"
"26";"Anas";"1983-02-15";"1184"
"27";"Anas";"1983-03-15";"397"
"28";"Anas";"1983-04-15";"68"
"29";"Anas";"1983-05-15";"33"
"30";"Anas";"1983-06-15";"75"
"31";"Anas";"1983-07-15";"59"
"32";"Anas";"1983-08-15";"640"
"33";"Anas";"1983-09-15";"640"
"34";"Anas";"1983-10-15";"1332"
"35";"Anas";"1983-11-15";"1388"
"36";"Anas";"1983-12-15";"1791"
"37";"Anas";"1984-01-15";"1417"
"38";"Anas";"1984-02-15";"1018"
"39";"Anas";"1984-03-15";"601"
"40";"Anas";"1984-04-15";"158"
"41";"Anas";"1984-05-15";"27"
"42";"Anas";"1984-06-15";"105"
"43";"Anas";"1984-07-15";"241"
"44";"Anas";"1984-08-15";"458"
"45";"Anas";"1984-09-15";"762"
"46";"Anas";"1984-10-15";"1219"
"47";"Anas";"1984-11-15";"1252"
"48";"Anas";"1984-12-15";"877"
"49";"Anas";"1985-01-15";"0"
"50";"Anas";"1985-02-15";"494"
"51";"Anas";"1985-03-15";"428"
"52";"Anas";"1985-04-15";"54"
"53";"Anas";"1985-05-15";"29"
"54";"Anas";"1985-06-15";"87"
"55";"Anas";"1985-07-15";"364"
"56";"Anas";"1985-08-15";"508"
