"Date";"Species";"Abundance"
"1981";"Anas";"1351"
"1982";"Anas";"1412"
"1983";"Anas";"1061.5"
"1984";"Anas";"1403.75"
"1985";"Anas";"655.75"
"1986";"Anas";"1477.75"
"1987";"Anas";"789.75"
"1988";"Anas";"729"
"1989";"Anas";"1400.25"
"1990";"Anas";"1460.5"
"1991";"Anas";"1531.25"
"1992";"Anas";"1860.5"
"1993";"Anas";"1485"
"1994";"Anas";"1442.5"
"1995";"Anas";"1380.25"
"1996";"Anas";"1592.75"
"1997";"Anas";"851.5"
"1998";"Anas";"794.25"
"1999";"Anas";"1038.75"
"2000";"Anas";"992.25"
"2001";"Anas";"739"
"2002";"Anas";"973.25"
"2003";"Anas";"884.5"
"2004";"Anas";"809.25"
"2005";"Anas";"954.5"
"2006";"Anas";"745.25"
"2007";"Anas";"577"
"2008";"Anas";"881.75"
"2009";"Anas";"877.75"
"2010";"Anas";"1064.75"
"2011";"Anas";"1006"
"2012";"Anas";"1039.5"
"2013";"Anas";"1167.75"
"2014";"Anas";"1071.5"
"2015";"Anas";"950.75"
"2016";"Anas";"1097.75"
"1981";"Calidris";"904"
"1982";"Calidris";"5448"
"1983";"Calidris";"8982"
"1984";"Calidris";"10845.75"
"1985";"Calidris";"10055"
"1986";"Calidris";"2698.5"
"1987";"Calidris";"3362"
"1988";"Calidris";"7303.5"
"1989";"Calidris";"525"
"1990";"Calidris";"4738.5"
"1991";"Calidris";"2946.5"
"1992";"Calidris";"150.25"
"1993";"Calidris";"5098.5"
"1994";"Calidris";"1108"
"1995";"Calidris";"101.5"
"1996";"Calidris";"17"
"1997";"Calidris";"525"
"1998";"Calidris";"1"
"1999";"Calidris";"1954"
"2000";"Calidris";"521.25"
"2001";"Calidris";"1148.75"
"2002";"Calidris";"112.5"
"2003";"Calidris";"463"
"2004";"Calidris";"624.75"
"2005";"Calidris";"1601"
"2006";"Calidris";"1200.75"
"2007";"Calidris";"48.25"
"2008";"Calidris";"1315"
"2009";"Calidris";"203.5"
"2010";"Calidris";"1052.75"
"2011";"Calidris";"1395.75"
"2012";"Calidris";"8595.5"
"2013";"Calidris";"5422.5"
"2014";"Calidris";"2538"
"2015";"Calidris";"4622.25"
"2016";"Calidris";"3329.25"
"1981";"Waders";"926"
"1982";"Waders";"5580.5"
"1983";"Waders";"9085"
"1984";"Waders";"11031.75"
"1985";"Waders";"10245.75"
"1986";"Waders";"2857.5"
"1987";"Waders";"3527.75"
"1988";"Waders";"7390.25"
"1989";"Waders";"555"
"1990";"Waders";"4874.25"
"1991";"Waders";"3151.25"
"1992";"Waders";"168.5"
"1993";"Waders";"5169.75"
"1994";"Waders";"1150.25"
"1995";"Waders";"135.5"
"1996";"Waders";"122"
"1997";"Waders";"607"
"1998";"Waders";"90.75"
"1999";"Waders";"2137.75"
"2000";"Waders";"630.25"
"2001";"Waders";"1353.5"
"2002";"Waders";"194.25"
"2003";"Waders";"689.75"
"2004";"Waders";"816.25"
"2005";"Waders";"2014.25"
"2006";"Waders";"1787.75"
"2007";"Waders";"323.25"
"2008";"Waders";"2126.75"
"2009";"Waders";"1031"
"2010";"Waders";"1950.75"
"2011";"Waders";"2565.25"
"2012";"Waders";"10073.75"
"2013";"Waders";"7047"
"2014";"Waders";"4794.25"
"2015";"Waders";"6644"
"2016";"Waders";"5330"
"1981";"Ducks";"2205"
"1982";"Ducks";"2436.75"
"1983";"Ducks";"1954.75"
"1984";"Ducks";"2412.25"
"1985";"Ducks";"1641.75"
"1986";"Ducks";"3818.25"
"1987";"Ducks";"2257.75"
"1988";"Ducks";"1681"
"1989";"Ducks";"3162.75"
"1990";"Ducks";"3016"
"1991";"Ducks";"3417"
"1992";"Ducks";"3751.5"
"1993";"Ducks";"3365"
"1994";"Ducks";"3295.75"
"1995";"Ducks";"2298.5"
"1996";"Ducks";"2695.75"
"1997";"Ducks";"1972.75"
"1998";"Ducks";"2121.25"
"1999";"Ducks";"2560.5"
"2000";"Ducks";"2656.75"
"2001";"Ducks";"1956.25"
"2002";"Ducks";"3108.75"
"2003";"Ducks";"1847.5"
