"Anas";"Calidris";"Waders";"Ducks";"Not-waders";"Freq";"Cormorant";"HeronEgret"
"1981";112.5;233.75;303.25;348.75;612.25;598.25;3.75;63
"1982";103.5;90.25;124;471.25;927.25;927.25;3;215.25
"1983";201.75;292.25;445.5;750.75;2192;2191.25;14.25;407.25
"1984";207.75;507.75;745.25;600.5;3321.5;3321.5;19.5;1068.25
"1985";247;315.75;423;731.75;3390.5;3389.5;4.25;941.5
"1986";327.25;225.25;276;860.5;4244.5;4242.75;1.25;1677.5
"1987";112.75;42.5;135.75;324;1121.25;1121;0.75;163
"1988";213.75;152;198;689;4329.75;4329.5;23;1887.5
"1989";176.5;109.75;169;974;4712.75;4702.75;47.5;2482.5
"1990";241.5;175.25;256.5;676.5;4505.25;4505.25;92;2611.25
"1991";282;120.5;227.25;667;4213.75;4213.75;78;2180
"1992";243;278.25;341.75;759.5;3725.25;3725;102.25;1717.5
"1993";256.25;24.75;57.5;943.75;4550.25;4550;222.75;1885
"1994";147.75;299.25;459.75;1016.75;5523;5522.5;111.5;1845
"1995";242;152.5;254.25;1004.5;5381.5;5380.75;69.5;1810
"1996";236;371.25;459.75;914.25;5345;5345;143.25;2105
"1997";165.75;55.5;88.5;609;4164;4162.5;182.5;1458.25
"1998";125.25;10.75;13.25;555.75;3038.25;3038.25;346;687.5
"1999";152.75;140.75;221;622.75;4621;4620;343.75;780.25
"2000";154.75;21.5;69.25;905.5;5110.75;5107.5;392;1031.25
"2001";131.5;78.25;131.75;1177.25;4766;4765.75;406;580.5
"2002";126.75;21.75;78.25;926.5;3440;3439.75;352;570
"2003";131.75;22.5;104;1017;6550;6545;451;800.25
"2004";157.5;33.5;75.25;897.75;2642.5;2642.5;305.75;224.5
"2005";76;0;2.75;536.75;2421.5;2421.5;156;158.5
"2006";173.5;5.75;33;756.25;4474.25;4474;410.5;259.25
"2007";130.5;441.25;841;584.5;4058.75;2239.25;308.75;161.25
"2008";187.25;438.5;897.5;691.5;2113;1818.75;138.25;129
"2009";195.5;172.5;606.75;694.25;1905.5;1780.5;54;133.25
"2010";230.5;717;1374;765.25;1841.5;1673.25;52;167.75
"2011";239;304.75;1035.75;764.75;1384;1364;18.75;90.75
"2012";378.5;392.5;1747.25;884;1933.5;1738.25;53.5;141.25
"2013";551.5;711.5;2179.25;1135.75;2439.25;2377;70.5;177.25
"2014";241.5;860.5;2449;588;1679.25;1639.5;63;229.5
"2015";199.5;204.25;1575.5;576.75;1685.75;1669.5;27.75;181.5
"2016";NA;NA;NA;NA;NA;NA;NA;NA
