"Anas";"Calidris";"Waders";"Ducks";"Tringa";"Freq";"Cormorant";"HeronEgret"
"1981";112.5;233.75;303;348.75;7.5;598.25;3.75;63
"1982";103.5;90.25;124;471.25;14.75;927.25;3;215.25
"1983";201.75;292.5;445.25;750.75;16;2191.25;14.25;407.25
"1984";207.75;507.75;745.25;600.5;54.75;3321.5;19.5;1068.25
"1985";247;317;422.75;731.75;59;3389.5;4.25;941.5
"1986";327.25;225.75;276;860.5;6.25;4242.75;1.25;1677.5
"1987";112.75;42.5;135.75;324;4.25;1121;0.75;163
"1988";213.75;152;198;689;20.5;4329.5;23;1887.5
"1989";176.5;109.75;169;974;16;4702.75;47.5;2482.5
"1990";241.5;175.75;256.5;676.5;18.5;4505.25;92;2611.25
"1991";282;125.25;227.25;667;9.5;4213.75;78;2180
"1992";243;278.75;341.75;759.5;20;3725;102.25;1717.5
"1993";256.25;24.75;57.75;943.75;10.5;4550;222.75;1885
"1994";147.75;300.25;459.75;1016.75;90.25;5522.5;111.5;1845
"1995";242;152.5;254.25;1004.5;9;5380.75;69.5;1810
"1996";236;371.25;459.75;914.25;12.5;5345;143.25;2105
"1997";165.75;55.5;88.5;609;13;4162.5;182.5;1458.25
"1998";125.25;10.75;13.25;555.75;1.75;3038.25;346;687.5
"1999";152.75;140.75;221;622.75;17;4620;343.75;780.25
"2000";154.75;21.5;69.25;905.5;17.75;5107.5;392;1031.25
"2001";131.5;79;131.75;1177.25;12.5;4765.75;406;580.5
"2002";126.75;22;78.25;926.5;16;3439.75;352;570
"2003";131.75;22.5;104;1017;50;6545;451;800.25
"2004";157.5;33.5;75.25;897.75;12.25;2642.5;305.75;224.5
"2005";76;0;2.75;536.75;0.5;2421.5;156;158.5
"2006";173.5;5.75;33;756.25;4.25;4474;410.5;259.25
"2007";130.5;441.75;840.75;584.5;110;2239.25;308.75;161.25
"2008";187.25;439.25;897.5;691.5;142;1818.75;138.25;129
"2009";195.5;173.25;606;693.75;255.25;1780.5;54;133.25
"2010";230.5;717;1374.5;765.25;253.5;1673.25;52;167.75
"2011";239;304.75;1036.5;764.75;296.25;1364;18.75;90.75
"2012";378.5;394;1748.75;884;532.25;1738.25;53.5;141.25
"2013";551.5;713;2179.75;1135.25;392.25;2377;70.5;177.25
"2014";241.5;862.25;2449.25;588;352.75;1639.5;63;229.5
"2015";199.5;204.5;1574.25;576.75;305;1669.5;27.75;181.5
"2016";NA;NA;NA;NA;NA;NA;NA;NA
