"Anas";"Calidris";"Waders";"Ducks";"Not-waders";"Freq";"Cormorant";"HeronEgret"
"1981";112.5;233.75;301.5;348.75;614;900.25;3.75;63
"1982";103.5;90.25;123.5;471.25;927.75;1051.25;3;215.25
"1983";201.75;292.25;444.75;750.75;2192.75;2635.75;14.25;407.25
"1984";207.75;507.75;744.25;600.5;3322.5;4064.25;19.5;1068.25
"1985";247;315.75;421;731.75;3392.5;3811.25;4.25;941.5
"1986";327.25;225.25;274.25;860.5;4246.25;4517.75;1.25;1677.5
"1987";112.75;42.5;135.75;324;1121.25;1256.75;0.75;163
"1988";213.75;152;197.75;689;4330;4522.5;23;1887.5
"1989";176.5;109.75;167.5;974;4714.25;4870.25;47.5;2482.5
"1990";241.5;175.25;253.25;676.5;4508.5;4760.75;92;2611.25
"1991";282;120.5;227.25;667;4213.75;4435.5;78;2180
"1992";243;278.25;341.75;759.5;3725.25;4065.75;102.25;1717.5
"1993";256.25;24.75;54.75;943.75;4553;4606.75;222.75;1885
"1994";147.75;299.25;459.5;1016.75;5523.25;5981.5;111.5;1845
"1995";242;152.5;254.25;1004.5;5381.5;5633.5;69.5;1810
"1996";236;371.25;459.75;914.25;5345;5804;143.25;2105
"1997";165.75;55.5;88.5;609;4164;4251;182.5;1458.25
"1998";125.25;10.75;13.25;555.75;3038.25;3051.5;346;687.5
"1999";152.75;140.75;217;622.75;4625;4841;343.75;780.25
"2000";154.75;21.5;69.25;905.5;5110.75;5176.75;392;1031.25
"2001";131.5;78.25;129.5;1177.25;4768.25;4895;406;580.5
"2002";126.75;21.75;75.25;926.5;3443;3517.5;352;570
"2003";131.75;22.5;104;1017;6550;6646;451;800.25
"2004";157.5;33.5;74.25;897.75;2643.5;2716;305.75;224.5
"2005";76;0;2.75;536.75;2421.5;2424.25;156;158.5
"2006";173.5;5.75;33;756.25;4474.25;4507;410.5;259.25
"2007";130.5;441.25;838;584.5;4061.75;3077;308.75;161.25
"2008";187.25;438.5;895.25;691.5;2115.25;2714.75;138.25;129
"2009";195.5;172.5;606.75;694.25;1905.5;2386;54;133.25
"2010";230.5;717;1372.75;765.25;1842.75;3046.75;52;167.75
"2011";239;304.75;1029.5;764.75;1390.25;2399;18.75;90.75
"2012";378.5;392.5;1740.25;884;1940.5;3484;53.5;141.25
"2013";551.5;711.5;2168.5;1135.75;2450;4552.5;70.5;177.25
"2014";241.5;860.5;2444;588;1684.25;4086.75;63;229.5
"2015";199.5;204.25;1567.25;576.75;1694;3243;27.75;181.5
"2016";NA;NA;NA;NA;NA;NA;NA;NA
