"Date";"Species";"Abundance"
"1981";"Anas";"103025.625"
"1982";"Anas";"102673.125"
"1983";"Anas";"153050.625"
"1984";"Anas";"208151.25"
"1985";"Anas";"263032.5"
"1986";"Anas";"344353.125"
"1987";"Anas";"123768.75"
"1988";"Anas";"224590"
"1989";"Anas";"182553.75"
"1990";"Anas";"258594.375"
"1991";"Anas";"304537.5"
"1992";"Anas";"254776.875"
"1993";"Anas";"268786.25"
"1994";"Anas";"148758.75"
"1995";"Anas";"254572.5"
"1996";"Anas";"256071.875"
"1997";"Anas";"163318.75"
"1998";"Anas";"117475"
"1999";"Anas";"155178.75"
"2000";"Anas";"153908.75"
"2001";"Anas";"127937.5"
"2002";"Anas";"122290"
"2003";"Anas";"140887.5"
"2004";"Anas";"154666.25"
"2005";"Anas";"83112.5"
"2006";"Anas";"186650"
"2007";"Anas";"133850"
"2008";"Anas";"204176.25"
"2009";"Anas";"197830"
"2010";"Anas";"241493.75"
"2011";"Anas";"261112.5"
"2012";"Anas";"402785"
"2013";"Anas";"577966.875"
"2014";"Anas";"259176.25"
"2015";"Anas";"214681.25"
"2016";"Anas";NA
"1981";"Calidris";"10546.875"
"1982";"Calidris";"4100"
"1983";"Calidris";"17903.125"
"1984";"Calidris";"33973.75"
"1985";"Calidris";"16153.75"
"1986";"Calidris";"10403.125"
"1987";"Calidris";"1912.5"
"1988";"Calidris";"6939.375"
"1989";"Calidris";"4916.25"
"1990";"Calidris";"8104.375"
"1991";"Calidris";"5926.25"
"1992";"Calidris";"12576.25"
"1993";"Calidris";"1116.125"
"1994";"Calidris";"13956.875"
"1995";"Calidris";"7676.25"
"1996";"Calidris";"17487.5"
"1997";"Calidris";"2452.5"
"1998";"Calidris";"483.75"
"1999";"Calidris";"6847.5"
"2000";"Calidris";"967.5"
"2001";"Calidris";"4274.375"
"2002";"Calidris";"1073.75"
"2003";"Calidris";"1012.5"
"2004";"Calidris";"1500"
"2005";"Calidris";"0"
"2006";"Calidris";"258.75"
