"Anas";"Calidris";"Waders";"Ducks";"Tringa";"Freq";"Cormorant";"HeronEgret"
"1981";103025.625;10546.875;303;414338.125;941.875;545647.75;11812.5;49500
"1982";102673.125;4100;124;702229.375;2130;972214.375;9450;173125
"1983";153050.625;17903.125;445.25;1241011.875;2145.625;1907889.375;44887.5;309625
"1984";208151.25;33973.75;745.25;1101515;7139.375;2413532.625;61425;759875
"1985";263032.5;16153.75;422.75;1922928.75;7783.125;3329956.25;13387.5;738500
"1986";344353.125;10403.125;276;2253016.875;838.125;4125626.5;3937.5;1103750
"1987";123768.75;1912.5;135.75;1182431.25;436.875;1473656.25;2362.5;102000
"1988";224590;6939.375;198;1422540;2390;3597827.375;72450;1393750
"1989";182553.75;4916.25;169;1685528.75;2088.75;3994437.375;149625;1686250
"1990";258594.375;8104.375;256.5;1403213.125;2591.25;3928273.125;289800;1776875
"1991";304537.5;5926.25;227.25;1535381.25;1039.375;3923760.25;245700;1445000
"1992";254776.875;12576.25;341.75;1480964.375;2603.125;3582404.125;322087.5;1233750
"1993";268786.25;1116.125;57.75;1622366.25;1381.875;4554796.5;701662.5;1350000
"1994";148758.75;13956.875;459.75;1539977.5;12017.5;4471770.875;351225;1325000
"1995";254572.5;7676.25;254.25;1462853.75;1204.375;4380261.5;218925;1247500
"1996";256071.875;17487.5;459.75;1646003.125;1650.625;4773258.375;451237.5;1387500
"1997";163318.75;2452.5;88.5;999213.75;1871.25;4069216.25;574875;1049875
"1998";117475;483.75;13.25;983802.5;248.125;3875106.25;1089900;701250
"1999";155178.75;6847.5;221;1022113.75;2508.75;4748446.5;1082812.5;540375
"2000";153908.75;967.5;69.25;1527128.75;2424.375;5212615.625;1234800;829375
"2001";127937.5;4274.375;131.75;1905467.5;2091.875;5550826.25;1278900;433250
"2002";122290;1073.75;78.25;1488115;2680.625;4381904;1108800;472500
"2003";140887.5;1012.5;104;1279960;6524.375;5796732.75;1420650;630375
"2004";154666.25;1500;75.25;1498343.75;1660;3925016.875;963112.5;231750
"2005";83112.5;0;2.75;809243.75;40;2456577;491400;142750
"2006";186650;258.75;33;1027581.25;618.75;5322935.625;1293075;191375
"2007";133850;24125.25;840.75;787230;16737.5;3029331;972562.5;105875
"2008";204176.25;21705.625;897.5;667938.75;20012.5;1541900.875;435487.5;77000
"2009";197830;8870;606;664310;36776.875;1369109.125;170100;91375
"2010";241493.75;32745.875;1374.5;697096.25;35780;1215709.5;163800;99375
"2011";261112.5;14435.875;1036.5;768640;42858.125;1059222.625;59062.5;52875
"2012";402785;19715.5;1748.75;1074042.5;73597.5;1623357.375;168525;80125
"2013";577966.875;35887.875;2179.75;1400191.875;55927.5;2126274.125;222075;104375
"2014";259176.25;46408.5;2449.25;826536.25;49813.125;1459302.125;198450;123500
"2015";214681.25;10599.375;1574.25;754833.75;43478.75;1295033.75;87412.5;1e+05
"2016";NA;NA;NA;NA;NA;NA;NA;NA
