"","dates","sp_all","abundance_warm"
"1","1981","Calidris canutus",0
"2","1982","Calidris canutus",0.25
"3","1983","Calidris canutus",37.75
"4","1984","Calidris canutus",89
"5","1985","Calidris canutus",14.25
"6","1986","Calidris canutus",1.5
"7","1987","Calidris canutus",0
"8","1988","Calidris canutus",0.75
"9","1989","Calidris canutus",0
"10","1990","Calidris canutus",0.75
"11","1991","Calidris canutus",0
"12","1992","Calidris canutus",0
"13","1993","Calidris canutus",0
"14","1994","Calidris canutus",3
"15","1995","Calidris canutus",6.75
"16","1996","Calidris canutus",6.25
"17","1997","Calidris canutus",0
"18","1998","Calidris canutus",0
"19","1999","Calidris canutus",3.75
"20","2000","Calidris canutus",0
"21","2001","Calidris canutus",5.5
"22","2002","Calidris canutus",0
"23","2003","Calidris canutus",0
"24","2004","Calidris canutus",0
"25","2005","Calidris canutus",0
"26","2006","Calidris canutus",0
"27","2007","Calidris canutus",35.5
"28","2008","Calidris canutus",16
"29","2009","Calidris canutus",9
"30","2010","Calidris canutus",5.25
"31","2011","Calidris canutus",4.5
"32","2012","Calidris canutus",14.5
"33","2013","Calidris canutus",28.5
"34","2014","Calidris canutus",61.5
"35","2015","Calidris canutus",10.25
"36","1981","Calidris alpina",231.25
"37","1982","Calidris alpina",89.25
"38","1983","Calidris alpina",253
"39","1984","Calidris alpina",416.25
"40","1985","Calidris alpina",298.25
"41","1986","Calidris alpina",221
"42","1987","Calidris alpina",42.5
"43","1988","Calidris alpina",151
"44","1989","Calidris alpina",104.5
"45","1990","Calidris alpina",171
"46","1991","Calidris alpina",117.5
"47","1992","Calidris alpina",278.25
"48","1993","Calidris alpina",17.5
"49","1994","Calidris alpina",296
"50","1995","Calidris alpina",143.75
"51","1996","Calidris alpina",365
"52","1997","Calidris alpina",52.5
"53","1998","Calidris alpina",10.75
"54","1999","Calidris alpina",130
"55","2000","Calidris alpina",21.5
"56","2001","Calidris alpina",66
"57","2002","Calidris alpina",18.75
"58","2003","Calidris alpina",22.5
"59","2004","Calidris alpina",30.5
"60","2005","Calidris alpina",0
"61","2006","Calidris alpina",5.75
"62","2007","Calidris alpina",381.75
"63","2008","Calidris alpina",409
"64","2009","Calidris alpina",156.25
"65","2010","Calidris alpina",694.75
"66","2011","Calidris alpina",291.75
"67","2012","Calidris alpina",361.75
"68","2013","Calidris alpina",661.5
"69","2014","Calidris alpina",770.75
"70","2015","Calidris alpina",180
"71","1981","Calidris ferruginea",1.75
"72","1982","Calidris ferruginea",0.5
"73","1983","Calidris ferruginea",0.75
"74","1984","Calidris ferruginea",1
"75","1985","Calidris ferruginea",2
"76","1986","Calidris ferruginea",1.75
"77","1987","Calidris ferruginea",0
"78","1988","Calidris ferruginea",0.25
"79","1989","Calidris ferruginea",1.5
"80","1990","Calidris ferruginea",3.25
"81","1991","Calidris ferruginea",0
"82","1992","Calidris ferruginea",0
"83","1993","Calidris ferruginea",3
"84","1994","Calidris ferruginea",0.25
"85","1995","Calidris ferruginea",0
"86","1996","Calidris ferruginea",0
"87","1997","Calidris ferruginea",0
"88","1998","Calidris ferruginea",0
"89","1999","Calidris ferruginea",4
"90","2000","Calidris ferruginea",0
"91","2001","Calidris ferruginea",2.25
"92","2002","Calidris ferruginea",3
"93","2003","Calidris ferruginea",0
"94","2004","Calidris ferruginea",1
"95","2005","Calidris ferruginea",0
"96","2006","Calidris ferruginea",0
"97","2007","Calidris ferruginea",3.75
"98","2008","Calidris ferruginea",2.25
"99","2009","Calidris ferruginea",0
"100","2010","Calidris ferruginea",2
"101","2011","Calidris ferruginea",7
"102","2012","Calidris ferruginea",8.5
"103","2013","Calidris ferruginea",11.25
"104","2014","Calidris ferruginea",5.5
"105","2015","Calidris ferruginea",8.25
"106","1981","Calidris minuta",0.75
"107","1982","Calidris minuta",0.25
"108","1983","Calidris minuta",0.75
"109","1984","Calidris minuta",1.5
"110","1985","Calidris minuta",1.25
"111","1986","Calidris minuta",1
"112","1987","Calidris minuta",0
"113","1988","Calidris minuta",0
"114","1989","Calidris minuta",3.75
"115","1990","Calidris minuta",0.25
"116","1991","Calidris minuta",2.25
"117","1992","Calidris minuta",0
"118","1993","Calidris minuta",4
"119","1994","Calidris minuta",0
"120","1995","Calidris minuta",2
"121","1996","Calidris minuta",0
"122","1997","Calidris minuta",3
"123","1998","Calidris minuta",0
"124","1999","Calidris minuta",3
"125","2000","Calidris minuta",0
"126","2001","Calidris minuta",4.5
"127","2002","Calidris minuta",0
"128","2003","Calidris minuta",0
"129","2004","Calidris minuta",2
"130","2005","Calidris minuta",0
"131","2006","Calidris minuta",0
"132","2007","Calidris minuta",19.5
"133","2008","Calidris minuta",11
"134","2009","Calidris minuta",7
"135","2010","Calidris minuta",14
"136","2011","Calidris minuta",0.25
