"","dates","sp_all","abundance_warm"
"1","1981","Calidris canutus",0
"2","1982","Calidris canutus",42.5
"3","1983","Calidris canutus",6417.5
"4","1984","Calidris canutus",15130
"5","1985","Calidris canutus",2422.5
"6","1986","Calidris canutus",255
"7","1987","Calidris canutus",0
"8","1988","Calidris canutus",127.5
"9","1989","Calidris canutus",0
"10","1990","Calidris canutus",127.5
"11","1991","Calidris canutus",0
"12","1992","Calidris canutus",0
"13","1993","Calidris canutus",0
"14","1994","Calidris canutus",510
"15","1995","Calidris canutus",1147.5
"16","1996","Calidris canutus",1062.5
"17","1997","Calidris canutus",0
"18","1998","Calidris canutus",0
"19","1999","Calidris canutus",637.5
"20","2000","Calidris canutus",0
"21","2001","Calidris canutus",935
"22","2002","Calidris canutus",0
"23","2003","Calidris canutus",0
"24","2004","Calidris canutus",0
"25","2005","Calidris canutus",0
"26","2006","Calidris canutus",0
"27","2007","Calidris canutus",6035
"28","2008","Calidris canutus",2720
"29","2009","Calidris canutus",1530
"30","2010","Calidris canutus",892.5
"31","2011","Calidris canutus",765
"32","2012","Calidris canutus",2465
"33","2013","Calidris canutus",4845
"34","2014","Calidris canutus",10455
"35","2015","Calidris canutus",1742.5
"36","1981","Calidris alpina",10406.25
"37","1982","Calidris alpina",4016.25
"38","1983","Calidris alpina",11385
"39","1984","Calidris alpina",18731.25
"40","1985","Calidris alpina",13421.25
"41","1986","Calidris alpina",9945
"42","1987","Calidris alpina",1912.5
"43","1988","Calidris alpina",6795
"44","1989","Calidris alpina",4702.5
"45","1990","Calidris alpina",7695
"46","1991","Calidris alpina",5287.5
"47","1992","Calidris alpina",12521.25
"48","1993","Calidris alpina",787.5
"49","1994","Calidris alpina",13320
"50","1995","Calidris alpina",6468.75
"51","1996","Calidris alpina",16425
"52","1997","Calidris alpina",2362.5
"53","1998","Calidris alpina",483.75
"54","1999","Calidris alpina",5850
"55","2000","Calidris alpina",967.5
"56","2001","Calidris alpina",2970
"57","2002","Calidris alpina",843.75
"58","2003","Calidris alpina",1012.5
"59","2004","Calidris alpina",1372.5
"60","2005","Calidris alpina",0
"61","2006","Calidris alpina",258.75
"62","2007","Calidris alpina",17178.75
"63","2008","Calidris alpina",18405
"64","2009","Calidris alpina",7031.25
"65","2010","Calidris alpina",31263.75
"66","2011","Calidris alpina",13128.75
"67","2012","Calidris alpina",16278.75
"68","2013","Calidris alpina",29767.5
"69","2014","Calidris alpina",34683.75
"70","2015","Calidris alpina",8100
"71","1981","Calidris ferruginea",118.125
"72","1982","Calidris ferruginea",33.75
"73","1983","Calidris ferruginea",50.625
"74","1984","Calidris ferruginea",67.5
"75","1985","Calidris ferruginea",135
"76","1986","Calidris ferruginea",118.125
