"","dates","sp_all","abundance_warm"
"1","1981","Anas platyrhynchos",67.75
"2","1982","Anas platyrhynchos",78.75
"3","1983","Anas platyrhynchos",99
"4","1984","Anas platyrhynchos",170.75
"5","1985","Anas platyrhynchos",219.25
"6","1986","Anas platyrhynchos",285
"7","1987","Anas platyrhynchos",107.5
"8","1988","Anas platyrhynchos",187
"9","1989","Anas platyrhynchos",150
"10","1990","Anas platyrhynchos",217.5
"11","1991","Anas platyrhynchos",258.75
"12","1992","Anas platyrhynchos",207.5
"13","1993","Anas platyrhynchos",217.5
"14","1994","Anas platyrhynchos",115
"15","1995","Anas platyrhynchos",205
"16","1996","Anas platyrhynchos",215
"17","1997","Anas platyrhynchos",127.5
"18","1998","Anas platyrhynchos",90.25
"19","1999","Anas platyrhynchos",120
"20","2000","Anas platyrhynchos",116.25
"21","2001","Anas platyrhynchos",98.75
"22","2002","Anas platyrhynchos",96.25
"23","2003","Anas platyrhynchos",117.5
"24","2004","Anas platyrhynchos",125
"25","2005","Anas platyrhynchos",71.25
"26","2006","Anas platyrhynchos",158
"27","2007","Anas platyrhynchos",110.5
"28","2008","Anas platyrhynchos",175.25
"29","2009","Anas platyrhynchos",162.75
"30","2010","Anas platyrhynchos",203.75
"31","2011","Anas platyrhynchos",226.25
"32","2012","Anas platyrhynchos",340.5
"33","2013","Anas platyrhynchos",487.25
"34","2014","Anas platyrhynchos",220.25
"35","2015","Anas platyrhynchos",182.5
"36","1981","Anas acuta",3.75
"37","1982","Anas acuta",4
"38","1983","Anas acuta",2.5
"39","1984","Anas acuta",0.5
"40","1985","Anas acuta",1
"41","1986","Anas acuta",2.25
"42","1987","Anas acuta",0
"43","1988","Anas acuta",1.25
"44","1989","Anas acuta",0.75
"45","1990","Anas acuta",0.5
"46","1991","Anas acuta",1.5
"47","1992","Anas acuta",5.25
"48","1993","Anas acuta",5.75
"49","1994","Anas acuta",4.5
"50","1995","Anas acuta",5
"51","1996","Anas acuta",7.25
"52","1997","Anas acuta",5
"53","1998","Anas acuta",5
"54","1999","Anas acuta",1.75
"55","2000","Anas acuta",4
"56","2001","Anas acuta",4.5
"57","2002","Anas acuta",1.5
"58","2003","Anas acuta",2.25
"59","2004","Anas acuta",3.25
"60","2005","Anas acuta",1.75
"61","2006","Anas acuta",2.25
"62","2007","Anas acuta",2.25
"63","2008","Anas acuta",1.25
"64","2009","Anas acuta",0.25
