"","dates","sp_all","abundance_warm"
"1","1981","Anas platyrhynchos",1659.25
"2","1982","Anas platyrhynchos",1830
"3","1983","Anas platyrhynchos",3452
"4","1984","Anas platyrhynchos",5239.75
"5","1985","Anas platyrhynchos",6830
"6","1986","Anas platyrhynchos",8312.5
"7","1987","Anas platyrhynchos",2902.5
"8","1988","Anas platyrhynchos",5721.5
"9","1989","Anas platyrhynchos",5410
"10","1990","Anas platyrhynchos",7435
"11","1991","Anas platyrhynchos",7786.25
"12","1992","Anas platyrhynchos",6710
"13","1993","Anas platyrhynchos",7002.5
"14","1994","Anas platyrhynchos",4155
"15","1995","Anas platyrhynchos",7315
"16","1996","Anas platyrhynchos",6800
"17","1997","Anas platyrhynchos",3697.5
"18","1998","Anas platyrhynchos",2524.25
"19","1999","Anas platyrhynchos",4100
"20","2000","Anas platyrhynchos",3768.75
"21","2001","Anas platyrhynchos",3611.25
"22","2002","Anas platyrhynchos",3328.75
"23","2003","Anas platyrhynchos",3932.5
"24","2004","Anas platyrhynchos",3446.25
"25","2005","Anas platyrhynchos",1876.25
"26","2006","Anas platyrhynchos",5890
"27","2007","Anas platyrhynchos",1960.5
"28","2008","Anas platyrhynchos",3054.75
"29","2009","Anas platyrhynchos",6108.75
"30","2010","Anas platyrhynchos",7523.25
"31","2011","Anas platyrhynchos",9153
"32","2012","Anas platyrhynchos",7409
"33","2013","Anas platyrhynchos",13273.5
"34","2014","Anas platyrhynchos",5748
"35","2015","Anas platyrhynchos",3667
"36","1981","Anas acuta",91.75
"37","1982","Anas acuta",90.5
"38","1983","Anas acuta",73.5
"39","1984","Anas acuta",14.25
"40","1985","Anas acuta",28
"41","1986","Anas acuta",64.75
"42","1987","Anas acuta",0
"43","1988","Anas acuta",39.5
"44","1989","Anas acuta",25
"45","1990","Anas acuta",17
"46","1991","Anas acuta",45.5
"47","1992","Anas acuta",156
"48","1993","Anas acuta",174.25
"49","1994","Anas acuta",155.75
"50","1995","Anas acuta",173.75
"51","1996","Anas acuta",227.25
"52","1997","Anas acuta",144.25
"53","1998","Anas acuta",138.5
"54","1999","Anas acuta",56
"55","2000","Anas acuta",134
"56","2001","Anas acuta",166
"57","2002","Anas acuta",52
"58","2003","Anas acuta",73.5
"59","2004","Anas acuta",97
"60","2005","Anas acuta",45.25
"61","2006","Anas acuta",79.25
"62","2007","Anas acuta",3
"63","2008","Anas acuta",27.25
"64","2009","Anas acuta",2.5
"65","2010","Anas acuta",0
"66","2011","Anas acuta",53
"67","2012","Anas acuta",20
"68","2013","Anas acuta",26.75
"69","2014","Anas acuta",30
"70","2015","Anas acuta",41
"71","1981","Anas strepera",203.25
"72","1982","Anas strepera",42.5
"73","1983","Anas strepera",100.75
"74","1984","Anas strepera",64.75
"75","1985","Anas strepera",74.75
"76","1986","Anas strepera",260.5
"77","1987","Anas strepera",0
"78","1988","Anas strepera",0
"79","1989","Anas strepera",127
"80","1990","Anas strepera",125.5
"81","1991","Anas strepera",151
"82","1992","Anas strepera",88
"83","1993","Anas strepera",256.25
"84","1994","Anas strepera",142.5
"85","1995","Anas strepera",364.25
"86","1996","Anas strepera",42.5
"87","1997","Anas strepera",162.5
"88","1998","Anas strepera",47.25
"89","1999","Anas strepera",98.25
"90","2000","Anas strepera",134
"91","2001","Anas strepera",41.25
"92","2002","Anas strepera",8.75
"93","2003","Anas strepera",52.5
"94","2004","Anas strepera",0
"95","2005","Anas strepera",35
"96","2006","Anas strepera",91
"97","2007","Anas strepera",7.25
"98","2008","Anas strepera",40
"99","2009","Anas strepera",115
"100","2010","Anas strepera",3.5
"101","2011","Anas strepera",58.5
"102","2012","Anas strepera",248.25
"103","2013","Anas strepera",122.5
"104","2014","Anas strepera",7.5
"105","2015","Anas strepera",43.5
"106","1981","Anas penelope",42.75
"107","1982","Anas penelope",16.5
"108","1983","Anas penelope",109
"109","1984","Anas penelope",44.25
"110","1985","Anas penelope",28.75
"111","1986","Anas penelope",91.75
"112","1987","Anas penelope",0
"113","1988","Anas penelope",0
"114","1989","Anas penelope",34
"115","1990","Anas penelope",8.5
"116","1991","Anas penelope",30.5
"117","1992","Anas penelope",22.5
"118","1993","Anas penelope",45.5
"119","1994","Anas penelope",17
"120","1995","Anas penelope",0
"121","1996","Anas penelope",8
"122","1997","Anas penelope",0
"123","1998","Anas penelope",0
"124","1999","Anas penelope",0
"125","2000","Anas penelope",0
"126","2001","Anas penelope",0
"127","2002","Anas penelope",0
"128","2003","Anas penelope",0
"129","2004","Anas penelope",0
"130","2005","Anas penelope",0
"131","2006","Anas penelope",0
"132","2007","Anas penelope",0
"133","2008","Anas penelope",0
"134","2009","Anas penelope",0
"135","2010","Anas penelope",0
"136","2011","Anas penelope",0
"137","2012","Anas penelope",0
"138","2013","Anas penelope",29
"139","2014","Anas penelope",0
"140","2015","Anas penelope",0
"141","1981","Anas clypeata",373.5
"142","1982","Anas clypeata",152.25
"143","1983","Anas clypeata",336.5
"144","1984","Anas clypeata",157.25
"145","1985","Anas clypeata",385.5
"146","1986","Anas clypeata",238.75
"147","1987","Anas clypeata",81
"148","1988","Anas clypeata",402
"149","1989","Anas clypeata",255
"150","1990","Anas clypeata",341.75
"151","1991","Anas clypeata",190
"152","1992","Anas clypeata",436.5
"153","1993","Anas clypeata",341.5
"154","1994","Anas clypeata",390
"155","1995","Anas clypeata",407
"156","1996","Anas clypeata",206.25
"157","1997","Anas clypeata",170.25
"158","1998","Anas clypeata",76.25
"159","1999","Anas clypeata",609.75
"160","2000","Anas clypeata",545.25
"161","2001","Anas clypeata",284.75
"162","2002","Anas clypeata",287.75
"163","2003","Anas clypeata",201.25
"164","2004","Anas clypeata",107
"165","2005","Anas clypeata",0
"166","2006","Anas clypeata",146.75
"167","2007","Anas clypeata",62.25
"168","2008","Anas clypeata",34.25
"169","2009","Anas clypeata",168.75
"170","2010","Anas clypeata",187.5
"171","2011","Anas clypeata",70.5
"172","2012","Anas clypeata",144
"173","2013","Anas clypeata",379
"174","2014","Anas clypeata",288.75
"175","2015","Anas clypeata",153.5
"176","1981","Anas crecca",366.75
"177","1982","Anas crecca",227.25
"178","1983","Anas crecca",2893
"179","1984","Anas crecca",813
"180","1985","Anas crecca",248.25
"181","1986","Anas crecca",557.25
"182","1987","Anas crecca",60.75
"183","1988","Anas crecca",326.5
"184","1989","Anas crecca",496
"185","1990","Anas crecca",294.5
"186","1991","Anas crecca",284.25
"187","1992","Anas crecca",335.5
"188","1993","Anas crecca",406.25
"189","1994","Anas crecca",383.25
"190","1995","Anas crecca",322.75
"191","1996","Anas crecca",141
"192","1997","Anas crecca",612.25
"193","1998","Anas crecca",713.5
"194","1999","Anas crecca",252
"195","2000","Anas crecca",357
"196","2001","Anas crecca",612
"197","2002","Anas crecca",681.25
"198","2003","Anas crecca",171.5
"199","2004","Anas crecca",559
"200","2005","Anas crecca",61
"201","2006","Anas crecca",253.5
"202","2007","Anas crecca",70.5
"203","2008","Anas crecca",117.75
"204","2009","Anas crecca",562.75
"205","2010","Anas crecca",465.75
"206","2011","Anas crecca",318.25
"207","2012","Anas crecca",435.25
"208","2013","Anas crecca",1105
"209","2014","Anas crecca",281.5
"210","2015","Anas crecca",199.75
"211","1981","Aythya ferina",356.75
"212","1982","Aythya ferina",169.25
"213","1983","Aythya ferina",294
"214","1984","Aythya ferina",367
"215","1985","Aythya ferina",229
"216","1986","Aythya ferina",322.25
"217","1987","Aythya ferina",108
"218","1988","Aythya ferina",180.75
"219","1989","Aythya ferina",500.5
"220","1990","Aythya ferina",182.5
"221","1991","Aythya ferina",180.75
"222","1992","Aythya ferina",248
"223","1993","Aythya ferina",314.5
"224","1994","Aythya ferina",225.75
"225","1995","Aythya ferina",214.75
"226","1996","Aythya ferina",360.5
"227","1997","Aythya ferina",102.75
"228","1998","Aythya ferina",190.5
"229","1999","Aythya ferina",323.5
"230","2000","Aythya ferina",161
"231","2001","Aythya ferina",553.75
"232","2002","Aythya ferina",120.5
"233","2003","Aythya ferina",518
"234","2004","Aythya ferina",220.25
"235","2005","Aythya ferina",26.25
"236","2006","Aythya ferina",442.5
"237","2007","Aythya ferina",69.5
"238","2008","Aythya ferina",0
"239","2009","Aythya ferina",46.75
"240","2010","Aythya ferina",8.5
"241","2011","Aythya ferina",0
"242","2012","Aythya ferina",46.5
"243","2013","Aythya ferina",14
"244","2014","Aythya ferina",32.5
"245","2015","Aythya ferina",0
"246","1981","Aythya fuligula",118.25
"247","1982","Aythya fuligula",89
"248","1983","Aythya fuligula",105.75
"249","1984","Aythya fuligula",110.75
"250","1985","Aythya fuligula",218.5
"251","1986","Aythya fuligula",152.25
"252","1987","Aythya fuligula",47.25
"253","1988","Aythya fuligula",150.25
"254","1989","Aythya fuligula",101.5
"255","1990","Aythya fuligula",24.75
"256","1991","Aythya fuligula",0
"257","1992","Aythya fuligula",17
"258","1993","Aythya fuligula",65.25
"259","1994","Aythya fuligula",52.5
"260","1995","Aythya fuligula",27
"261","1996","Aythya fuligula",24
"262","1997","Aythya fuligula",90.75
"263","1998","Aythya fuligula",28.5
"264","1999","Aythya fuligula",0
"265","2000","Aythya fuligula",95
"266","2001","Aythya fuligula",0
"267","2002","Aythya fuligula",0
"268","2003","Aythya fuligula",76
"269","2004","Aythya fuligula",0
"270","2005","Aythya fuligula",0
"271","2006","Aythya fuligula",0
"272","2007","Aythya fuligula",0
"273","2008","Aythya fuligula",0
"274","2009","Aythya fuligula",0
"275","2010","Aythya fuligula",0
"276","2011","Aythya fuligula",0
"277","2012","Aythya fuligula",4.5
"278","2013","Aythya fuligula",0
"279","2014","Aythya fuligula",0
"280","2015","Aythya fuligula",14.5
"281","1981","Netta rufina",65.75
"282","1982","Netta rufina",21.75
"283","1983","Netta rufina",100.25
"284","1984","Netta rufina",175.25
"285","1985","Netta rufina",83.75
"286","1986","Netta rufina",118.5
"287","1987","Netta rufina",74.25
"288","1988","Netta rufina",56.5
"289","1989","Netta rufina",680
"290","1990","Netta rufina",139.75
"291","1991","Netta rufina",208.75
"292","1992","Netta rufina",47.5
"293","1993","Netta rufina",146.25
"294","1994","Netta rufina",391.25
"295","1995","Netta rufina",69.5
"296","1996","Netta rufina",0
"297","1997","Netta rufina",0
"298","1998","Netta rufina",0
"299","1999","Netta rufina",0
"300","2000","Netta rufina",0
"301","2001","Netta rufina",0
"302","2002","Netta rufina",0
"303","2003","Netta rufina",0
"304","2004","Netta rufina",0
"305","2005","Netta rufina",0
"306","2006","Netta rufina",0
"307","2007","Netta rufina",0
"308","2008","Netta rufina",0
"309","2009","Netta rufina",0
"310","2010","Netta rufina",0
"311","2011","Netta rufina",0
"312","2012","Netta rufina",0
"313","2013","Netta rufina",0
"314","2014","Netta rufina",0
"315","2015","Netta rufina",0
"316","1981","Tadorna tadorna",70.25
"317","1982","Tadorna tadorna",265.25
"318","1983","Tadorna tadorna",553
"319","1984","Tadorna tadorna",672.5
"320","1985","Tadorna tadorna",541
"321","1986","Tadorna tadorna",792
"322","1987","Tadorna tadorna",6.75
"323","1988","Tadorna tadorna",388
"324","1989","Tadorna tadorna",1242.5
"325","1990","Tadorna tadorna",402
"326","1991","Tadorna tadorna",744.75
"327","1992","Tadorna tadorna",450.5
"328","1993","Tadorna tadorna",502.75
"329","1994","Tadorna tadorna",456.75
"330","1995","Tadorna tadorna",679
"331","1996","Tadorna tadorna",510.5
"332","1997","Tadorna tadorna",418.25
"333","1998","Tadorna tadorna",238.75
"334","1999","Tadorna tadorna",1349.5
"335","2000","Tadorna tadorna",1473.25
"336","2001","Tadorna tadorna",712.5
"337","2002","Tadorna tadorna",686.5
"338","2003","Tadorna tadorna",891.75
"339","2004","Tadorna tadorna",2153
"340","2005","Tadorna tadorna",804
"341","2006","Tadorna tadorna",2508.5
"342","2007","Tadorna tadorna",767.75
"343","2008","Tadorna tadorna",329.5
