"","dates","sp_all","abundance_warm"
"1","1981","Recurvirostra avosetta",0
"2","1982","Recurvirostra avosetta",0
"3","1983","Recurvirostra avosetta",243.75
"4","1984","Recurvirostra avosetta",0
"5","1985","Recurvirostra avosetta",81.25
"6","1986","Recurvirostra avosetta",0
"7","1987","Recurvirostra avosetta",650
"8","1988","Recurvirostra avosetta",0
"9","1989","Recurvirostra avosetta",0
"10","1990","Recurvirostra avosetta",162.5
"11","1991","Recurvirostra avosetta",0
"12","1992","Recurvirostra avosetta",0
"13","1993","Recurvirostra avosetta",0
"14","1994","Recurvirostra avosetta",81.25
"15","1995","Recurvirostra avosetta",0
"16","1996","Recurvirostra avosetta",325
"17","1997","Recurvirostra avosetta",81.25
"18","1998","Recurvirostra avosetta",81.25
"19","1999","Recurvirostra avosetta",568.75
"20","2000","Recurvirostra avosetta",162.5
"21","2001","Recurvirostra avosetta",162.5
"22","2002","Recurvirostra avosetta",0
"23","2003","Recurvirostra avosetta",243.75
"24","2004","Recurvirostra avosetta",0
"25","2005","Recurvirostra avosetta",0
"26","2006","Recurvirostra avosetta",0
"27","2007","Recurvirostra avosetta",1300
"28","2008","Recurvirostra avosetta",568.75
"29","2009","Recurvirostra avosetta",406.25
"30","2010","Recurvirostra avosetta",162.5
"31","2011","Recurvirostra avosetta",325
"32","2012","Recurvirostra avosetta",975
"33","2013","Recurvirostra avosetta",4550
"34","2014","Recurvirostra avosetta",3331.25
"35","2015","Recurvirostra avosetta",3900
"36","1981","Limosa limosa",0
"37","1982","Limosa limosa",0
"38","1983","Limosa limosa",150
"39","1984","Limosa limosa",6300
"40","1985","Limosa limosa",375
"41","1986","Limosa limosa",0
"42","1987","Limosa limosa",18000
"43","1988","Limosa limosa",0
"44","1989","Limosa limosa",150
"45","1990","Limosa limosa",0
"46","1991","Limosa limosa",150
"47","1992","Limosa limosa",75
"48","1993","Limosa limosa",825
"49","1994","Limosa limosa",12000
"50","1995","Limosa limosa",525
"51","1996","Limosa limosa",1650
"52","1997","Limosa limosa",2475
"53","1998","Limosa limosa",0
"54","1999","Limosa limosa",2475
"55","2000","Limosa limosa",0
"56","2001","Limosa limosa",750
"57","2002","Limosa limosa",225
"58","2003","Limosa limosa",1725
"59","2004","Limosa limosa",2775
"60","2005","Limosa limosa",0
"61","2006","Limosa limosa",6375
"62","2007","Limosa limosa",25425
"63","2008","Limosa limosa",35025
"64","2009","Limosa limosa",26550
"65","2010","Limosa limosa",23175
"66","2011","Limosa limosa",55500
"67","2012","Limosa limosa",31275
"68","2013","Limosa limosa",46200
"69","2014","Limosa limosa",36450
"70","2015","Limosa limosa",64800
"71","1981","Limosa lapponica",111.5
"72","1982","Limosa lapponica",0
"73","1983","Limosa lapponica",446
"74","1984","Limosa lapponica",2676
"75","1985","Limosa lapponica",2007
"76","1986","Limosa lapponica",446
"77","1987","Limosa lapponica",111.5
"78","1988","Limosa lapponica",0
"79","1989","Limosa lapponica",0
"80","1990","Limosa lapponica",111.5
"81","1991","Limosa lapponica",0
"82","1992","Limosa lapponica",0
"83","1993","Limosa lapponica",0
"84","1994","Limosa lapponica",0
"85","1995","Limosa lapponica",0
"86","1996","Limosa lapponica",0
"87","1997","Limosa lapponica",0
"88","1998","Limosa lapponica",0
"89","1999","Limosa lapponica",111.5
"90","2000","Limosa lapponica",0
"91","2001","Limosa lapponica",0
"92","2002","Limosa lapponica",0
"93","2003","Limosa lapponica",0
"94","2004","Limosa lapponica",0
"95","2005","Limosa lapponica",0
"96","2006","Limosa lapponica",0
"97","2007","Limosa lapponica",111.5
"98","2008","Limosa lapponica",557.5
"99","2009","Limosa lapponica",111.5
"100","2010","Limosa lapponica",669
"101","2011","Limosa lapponica",1784
"102","2012","Limosa lapponica",11150
"103","2013","Limosa lapponica",13157
"104","2014","Limosa lapponica",17394
"105","2015","Limosa lapponica",5575
"106","1981","Calidris temminckii",0
"107","1982","Calidris temminckii",0
"108","1983","Calidris temminckii",0
"109","1984","Calidris temminckii",0
