"";"2007-01-03";"2007-01-06";"2007-01-12";"2007-01-16";"2007-01-18";"2007-01-26";"2007-01-29";"2007-02-05";"2007-02-09";"2007-02-12";"2007-02-13";"2007-02-14";"2007-02-15";"2007-02-16";"2007-02-17";"2007-02-23";"2007-03-07";"2007-03-16";"2007-03-17";"2007-03-18";"2007-03-23";"2007-03-28";"2007-04-03";"2007-04-04";"2007-04-19";"2007-04-20";"2007-04-21";"2007-04-23";"2007-04-24";"2007-04-26";"2007-04-27";"2007-05-02";"2007-05-07";"2007-05-09";"2007-05-10";"2007-05-11";"2007-05-14";"2007-05-19";"2007-05-22";"2007-05-28";"2007-05-29";"2007-05-30";"2007-06-05";"2007-06-06";"2007-06-07";"2007-06-09";"2007-06-11";"2007-06-18";"2007-06-19";"2007-06-21";"2007-06-23";"2007-06-27";"2007-06-28";"2007-06-30";"2007-07-02";"2007-07-03";"2007-07-13";"2007-07-14";"2007-07-15";"2007-07-16";"2007-07-17";"2007-07-18";"2007-07-19";"2007-07-20";"2007-07-22";"2007-07-23";"2007-07-24";"2007-07-25";"2007-07-26";"2007-07-27";"2007-07-29";"2007-07-30";"2007-07-31";"2007-08-02";"2007-08-03";"2007-08-04";"2007-08-05";"2007-08-07";"2007-08-08";"2007-08-09";"2007-08-13";"2007-08-14";"2007-08-16";"2007-08-17";"2007-08-19";"2007-08-20";"2007-08-21";"2007-08-22";"2007-08-23";"2007-08-24";"2007-08-25";"2007-08-26";"2007-08-27";"2007-08-28";"2007-08-29";"2007-08-30";"2007-08-31";"2007-09-02";"2007-09-04";"2007-09-05";"2007-09-06";"2007-09-10";"2007-09-11";"2007-09-12";"2007-09-13";"2007-09-14";"2007-09-15";"2007-09-17";"2007-09-18";"2007-09-19";"2007-09-20";"2007-09-24";"2007-09-25";"2007-09-26";"2007-09-27";"2007-09-28";"2007-09-30";"2007-10-01";"2007-10-02";"2007-10-03";"2007-10-04";"2007-10-08";"2007-10-09";"2007-10-10";"2007-12-16";"2007-12-17";"2007-12-19";"2007-12-21";"2007-12-22";"2007-12-28";"2007-12-29";"2007-12-30";"2007-12-31"
"USN00-Réserve ornithologique (générique)";0;4;0;9;5;2;0;3;9;1;6;3;2;2;3;3;0;13;5;3;0;4;6;10;4;5;1;4;4;0;6;1;2;0;3;1;2;0;1;9;3;1;3;1;3;2;1;1;1;5;4;1;1;1;0;2;7;3;2;2;0;4;1;5;0;3;6;5;1;3;1;1;3;0;10;0;10;4;1;1;1;2;1;0;0;1;2;1;1;1;3;0;1;4;12;4;2;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;2;5;6;4;3;10;17;1;1;2;0;22;3;4;0;3
"USN01-Artigues-Réserve ornithologique";0;0;1;0;0;1;0;0;1;0;0;0;0;2;1;0;1;3;0;0;1;1;4;0;5;6;0;3;6;1;7;0;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;0;0;0;2;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;5;3;0;0;2;0;0;0;0;4;0;1;0;0;0;0;0;2;1;1;1;0;6;1;0;3;2;1;3;0;1;0;1;0;0;0
"USN02-Etangs Milan-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;2;0;3;0;1;0;1;0;0;0;0;0;0;1;5;0;1;1;1;0;0;0;0;0;1;0;0;0;1
"USN03-Marais Cistude-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"USN04-Gd Large EST-Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;1;1;1;7;0;1;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;5;2;0;1;0;1;1;0;2;1;0;0;0;0;0;0;0;6;0;5;0;2;0;0;0;1;1;2;0;0;7;0;1;1;0;0;0;3;0;0;0;1;0;0;0;0;0;1
"USN05-Gd Large CENTRE-Réserve ornithologique";0;0;0;4;4;0;0;0;2;0;1;0;0;0;0;3;0;3;3;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;10;3;3;2;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;0;4;0;0;0;4;5;3;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;3;10;0;1;0;2;2;0;0;1;2;2;0;0;14;2;0;0;0;0;0;3;5;0;0;0;0;8;1;1;0;0
"USN06-Gd Large OUEST-Réserve ornithologique";0;1;0;0;0;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"USN07-Marais Aigrette-Réserve ornithologique";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;6;0;1;7;6;0;0;0;7;0;1;0;0;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"USN08-Marais CENTRE- Réserve ornithologique";0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
"USN09-Roselière EST- Réserve ornithologique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
